drug,pvalue,padj
am-580,0.003594274212493783,0.04906523382526891
primaquine,0.0036983591731604088,0.04938437398402096
cytochlor,0.0037646824575370236,0.04938437398402096
tg-101209,0.0037830565377194136,0.04938437398402096
pomalidomide,0.0037980444902035466,0.04938437398402096
gsk-3-inhibitor-ix,0.0038038483287836963,0.04938437398402096
4-methylhistamine,0.003822425629723806,0.04938437398402096
fluorometholone,0.003912116830545162,0.04973636919234812
ac-264613,0.003949256517334008,0.04973636919234812
fexinidazole,0.003962814349099492,0.04973636919234812
cromakalim,0.003987158829517887,0.04973636919234812
ivermectin,0.004037081619876372,0.04992869319624881
cabozantinib,0.004238169456342337,0.05197145087565561
embelin,0.004309385102222991,0.0519823647912633
vinblastine,0.004386088446160457,0.0519823647912633
phenelzine,0.004417018399737921,0.0519823647912633
4-iodo-6-phenylpyrimidine,0.004481370444553471,0.0519823647912633
eprobemide,0.004554704902147873,0.0519823647912633
sb-590885,0.00458583398186293,0.0519823647912633
temoporfin,0.004609191977079963,0.0519823647912633
sch-900776,0.004628925524680982,0.0519823647912633
combretastatin-a-4,0.0046537716455711,0.0519823647912633
adarotene,0.00466366924896418,0.0519823647912633
bix-02188,0.00466578231577121,0.0519823647912633
nutlin-3,0.004670150257680877,0.0519823647912633
parthenolide-(-),0.004728667608706148,0.052128692837826784
k-strophanthidin,0.004788587155825759,0.052128692837826784
lomefloxacin,0.004821870491776185,0.052128692837826784
podophyllotoxin,0.004827397954574146,0.052128692837826784
pac-1,0.004924865783405406,0.05240709134823658
quinidine,0.004925614667145939,0.05240709134823658
inh1,0.005131817026941807,0.05420247618967003
sb-2343,0.005185691644450443,0.054374607315360805
prazosin,0.005238581125996443,0.05453400639796298
zk-93426,0.005322391522679726,0.05501071809512545
caffeic-acid-phenethyl-ester,0.005625847609021348,0.05773476234222617
clofazimine,0.005733908656245795,0.058137454148993996
clofarabine,0.00574544294630694,0.058137454148993996
enzalutamide,0.005898519984030321,0.05927193345063802
mesoridazine,0.00603467032086955,0.06022184796067752
evacetrapib,0.006097126015585357,0.06042836537364392
candesartan,0.0063112610931254694,0.06210352868957482
isometheptene-mucate,0.006351984966176278,0.06210352868957482
am-251,0.00639500895028777,0.06210455000715707
nizofenone,0.006486516668304773,0.06257326412691337
volasertib,0.006639789847735551,0.0633171708668301
benzydamine,0.006724203430205225,0.0633171708668301
sarafloxacin,0.0067319104392579675,0.0633171708668301
mepivacaine,0.006738662276082816,0.0633171708668301
azd7762,0.006847486822039563,0.06392460278381451
trametinib,0.007012829116587256,0.06504848545962666
digoxin,0.007168136141877103,0.06599165625980807
azd3463,0.007206209132164988,0.06599165625980807
2-methoxyestradiol,0.007251329195099851,0.06599165625980807
raltitrexed,0.007379628164899159,0.06646142831116164
methocarbamol,0.00743322305047279,0.06646142831116164
demecarium,0.007440740419079604,0.06646142831116164
riociguat,0.007814649845413494,0.06931635081570557
josamycin,0.007856172449050252,0.06931635081570557
methacycline,0.00794122461819244,0.06964213346984521
"hydroxytacrine-maleate-(r,s)",0.00819335730233451,0.07142040973781949
dmh1,0.00828296677714744,0.07176917920079248
ro-10-5824,0.008375098597351806,0.07187740594150156
ro-9187,0.00839480414935298,0.07187740594150156
ferb-033,0.008475099397436512,0.07213805192994491
hesperadin,0.008587609025512312,0.07251536800518099
bms-387032,0.00861965673593029,0.07251536800518099
panobinostat,0.008783430382109839,0.07346603331163548
lenvatinib,0.008868561854607947,0.07375177588286035
flumethasone-pivalate,0.009176766928424406,0.07587875283102924
smi-4a,0.009348572636643382,0.07686013980240325
rociletinib,0.009579799327865382,0.0783162125843006
linifanib,0.009768389577341911,0.07940932426075137
bms-345541,0.009869801169258346,0.07978548766433982
forskolin,0.010066612413617056,0.08065615296352983
sodium-glucoheptonate,0.010088986652659917,0.08065615296352983
mibampator,0.010219975401404707,0.0812544198122671
vemurafenib,0.010347125438657406,0.08181579513517631
oxonic-acid,0.010932014722840533,0.08557013277356505
gw-842166,0.010940203568147571,0.08557013277356505
phenylbutazone,0.011116436697903085,0.08648109624659012
etofylline-clofibrate,0.011357692067138995,0.08771172772056939
ban-orl-24,0.011395856815111986,0.08771172772056939
azd8055,0.01195890334459461,0.09155837640015026
su3327,0.012095090449217237,0.09200229739379677
ciprofibrate,0.012144048930349123,0.09200229739379677
florfenicol,0.012260932040897522,0.0924040034540558
aztreonam,0.012453002813238575,0.09257559867416759
darapladib,0.012548007900525711,0.09257559867416759
abiraterone,0.0125936297250157,0.09257559867416759
famciclovir,0.012657159890016539,0.09257559867416759
