tf,importance_mean,rank
NFATC2,9.826560692497803e-05,644
ARID3B,9.776851581714634e-05,645
BHLHE41,9.76303650617183e-05,646
TLX3,9.718239924746777e-05,647
IKZF3,9.702803970507527e-05,648
TOX,9.692711929503162e-05,649
PAX2,9.62320181862708e-05,650
NR1D2,9.565534035497573e-05,651
NR2F6,9.548032713458572e-05,652
ZBTB32,9.398137755359434e-05,653
TBX20,9.37494914199514e-05,654
MSC,9.354664520699885e-05,655
HIPK2,9.336632311184682e-05,656
ABL1,9.212737320159665e-05,657
VSX1,9.185134657485605e-05,658
ZFX,9.0976272015079e-05,659
SP7,9.039594705404497e-05,660
ASCL1,8.941333116053348e-05,661
SP6,8.930975506018512e-05,662
HNF4G,8.917464577204251e-05,663
DNMT3B,8.84298108702053e-05,664
HOXB5,8.82494520314007e-05,665
ZNF350,8.746393654715709e-05,666
NKX6-1,8.58416380009904e-05,667
ZBTB14,8.57328865813282e-05,668
NFE2,8.569949150295149e-05,669
GCM1,8.512839364834453e-05,670
PLAGL2,8.505794487542554e-05,671
MAFA,8.474033731052563e-05,672
KDM5A,8.473771952412316e-05,673
TFDP1,8.47295529628885e-05,674
FOXI1,8.42362561887929e-05,675
DEAF1,8.423183432242354e-05,676
BCLAF1,8.393891793332387e-05,677
JDP2,8.385439908569955e-05,678
PLAG1,8.255916692272436e-05,679
REST,8.243561208125527e-05,680
EBF1,8.207185151913876e-05,681
HLF,8.081849459287879e-05,682
GLIS3,7.987926014862978e-05,683
ZNF382,7.981792435257281e-05,684
LHX4,7.981425524690166e-05,685
SFPQ,7.966385648402e-05,686
ATOH1,7.959440989016761e-05,687
NKX2-5,7.934838970934758e-05,688
PHOX2A,7.926503552893038e-05,689
ZNF384,7.83473029840387e-05,690
YAP1,7.824435318705506e-05,691
RCOR2,7.717310654686098e-05,692
KAT6A,7.705086008176209e-05,693
ZNF436,7.652784414086492e-05,694
NR1H4,7.56421734823931e-05,695
FOXD1,7.529391489953241e-05,696
ZBTB4,7.251017227304739e-05,697
PREB,7.236359758664435e-05,698
KLF11,7.218402742807939e-05,699
PRDM4,7.163208982869188e-05,700
DOT1L,7.15052738935166e-05,701
WT1,7.114255030842287e-05,702
NCOA3,7.015816747918772e-05,703
MTF1,6.976152876430793e-05,704
AIP,6.952812070277758e-05,705
SOX9,6.905847961865182e-05,706
MAZ,6.88614877361271e-05,707
RFX2,6.86406133141304e-05,708
NCOA6,6.861305244593533e-05,709
RUNX1,6.722720303002916e-05,710
HOXA4,6.721671682067647e-05,711
IKZF4,6.717047894989984e-05,712
ESRRG,6.702380652718886e-05,713
NKX2-1,6.695400788956363e-05,714
SPIC,6.673622910966515e-05,715
FOXF2,6.624469444821794e-05,716
FOXJ1,6.601126555647597e-05,717
ATF1,6.543236784256242e-05,718
TEAD2,6.52565050572207e-05,719
ZNF91,6.469589697684815e-05,720
DMRT1,6.460727826554566e-05,721
TBX21,6.447091344542836e-05,722
ZNF76,6.359478862876245e-05,723
BMAL1,6.349186027184335e-05,724
NCOA2,6.175031316821845e-05,725
MYBL1,6.103672713149895e-05,726
EGR3,6.0091982836496526e-05,727
GFI1,5.827960182992105e-05,728
DLX1,5.7972972509408764e-05,729
TCF4,5.71166212898729e-05,730
KLF1,5.6589837564062034e-05,731
DACH1,5.39993360011722e-05,732
ATF6,5.394721871247269e-05,733
CRX,5.3249204416753555e-05,734
POU1F1,5.3237899483319735e-05,735
GATA6,5.289410009504299e-05,736
NFX1,5.2438679549382526e-05,737
ETV6,5.236924802787257e-05,738
NR6A1,5.159514251991126e-05,739
PDX1,5.137021999551313e-05,740
DLX3,4.8313688683994845e-05,741
HIVEP3,4.80260429379283e-05,742
NR2E3,4.750943393473743e-05,743
NEUROD1,4.634707868026074e-05,744
PEG3,4.624497717908109e-05,745
UBTF,4.5816117284047664e-05,746
ZFPM1,4.534246380738516e-05,747
PTF1A,4.5004350281961183e-05,748
STAT4,4.4405249406564987e-05,749
ELK4,4.387432773137097e-05,750
PROP1,4.326624958806609e-05,751
ARID4A,4.2553833000772795e-05,752
ZNF202,4.2496255786517165e-05,753
GATA2,3.9050939029590855e-05,754
CTCF,3.898775747928814e-05,755
HESX1,3.8322400511810643e-05,756
HOXC13,3.8286973680327445e-05,757
NR2F2,3.808651683254912e-05,758
ZGLP1,3.744849454371627e-05,759
ATOH7,3.732817915288086e-05,760
POU3F4,3.651570793770838e-05,761
STOX1,3.648383687207731e-05,762
ZBTB38,3.628651514966386e-05,763
OLIG2,3.619125958553108e-05,764
GTF2I,3.5449975927933273e-05,765
MYT1,3.510201586086244e-05,766
HES1,3.420989637922626e-05,767
EZH2,3.0525837448921085e-05,768
PKNOX1,3.008077829163014e-05,769
SF1,2.7042717439940135e-05,770
PRDM2,2.3567705028426644e-05,771
