tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
DLX5,433,0.00024298584474612047,104,0.0011541287584350356,281,0.0003825335083850708,272.6666666666667,False
SOX2,431,0.0002462029986309252,242,0.0007207044929979626,146,0.0006317660452092847,273.0,False
CEBPA,323,0.00035195848643449303,72,0.0014489612350492584,424,0.00023945840154245465,273.0,False
MEIS1,53,0.0010960374804199092,148,0.0010229700528725516,620,0.00011210383640118949,273.6666666666667,False
HDAC1,122,0.0007375048180771652,597,0.00016967880620673745,103,0.0007394116766514951,274.0,False
SKIL,149,0.0006570507663127501,156,0.0009733955067834662,519,0.00016908313078166278,274.6666666666667,False
OVOL1,347,0.0003252736758440733,106,0.001150848848495419,375,0.0002778830051890206,276.0,False
MAF,171,0.0006191721991873085,423,0.0003788852237221363,235,0.0004314244307747591,276.3333333333333,False
BACH1,357,0.00031107630270525987,162,0.0009608663397254228,310,0.0003498080547539454,276.3333333333333,False
DDIT3,491,0.00019548909742657847,54,0.0016048744512469663,295,0.0003718793888651817,280.0,False
FEV,458,0.00022167580764289596,113,0.0011302265035434782,277,0.0003866741578046155,282.6666666666667,False
CREBZF,211,0.000525487007424393,502,0.00027669864648866374,135,0.0006464340849788641,282.6666666666667,False
MXD1,469,0.00021566065963535646,168,0.0009292676879908868,212,0.0004805171901447617,283.0,False
CREB3,575,0.00014280158775174337,90,0.0012505164049192294,185,0.0005384474785188331,283.3333333333333,False
SMAD9,262,0.00041841490365754905,216,0.0007726799830985935,372,0.0002802728047792395,283.3333333333333,False
SUPT20H,183,0.0005786652669712566,161,0.000961155048071305,507,0.00017517128213645112,283.6666666666667,False
SALL2,227,0.00046790310457254234,245,0.0007122352721125935,387,0.00026790750308881194,286.3333333333333,False
LHX2,150,0.0006560346750726846,546,0.0002263820566118587,164,0.0005919472041872116,286.6666666666667,False
FIGLA,173,0.0006021837227308425,362,0.0004537190031745316,326,0.0003307165350785605,287.0,False
SALL4,350,0.0003200082941395029,360,0.0004609418107501521,152,0.0006212512540704058,287.3333333333333,False
STAT3,56,0.0010739669148051689,492,0.00028625284475367605,319,0.0003381336710904126,289.0,False
ATF5,382,0.00028974117826692237,153,0.0009929600198423335,332,0.0003244274503079699,289.0,False
EOMES,191,0.0005597598174972518,495,0.000284539196309197,183,0.0005487614133774817,289.6666666666667,False
BMAL2,116,0.000746675793304045,202,0.0008234626286745576,558,0.00014163345170539187,292.0,False
ESRRA,421,0.0002543268468646905,278,0.0006211210711626336,178,0.0005643982692769593,292.3333333333333,False
NR0B2,159,0.0006447239752105816,520,0.00025960460611713644,204,0.0004973968082140345,294.3333333333333,False
NFIL3,348,0.0003219551820469254,467,0.0003250817530442873,68,0.0008893449357553133,294.3333333333333,False
ID2,445,0.0002328417952867312,319,0.000535556668683057,120,0.0006768163889300165,294.6666666666667,False
FGF2,64,0.0010224061349921006,745,4.172793339248434e-05,76,0.0008477842047189672,295.0,False
KMT2A,614,0.00011778868433508135,174,0.0009059859604046021,98,0.0007652464043530927,295.3333333333333,False
HOXA9,144,0.0006661818776592554,386,0.0004225539585149818,356,0.00029953965312567256,295.3333333333333,False
POU4F2,99,0.0008293093088468595,193,0.0008393465277549694,594,0.00012273430346437426,295.3333333333333,False
OLIG1,255,0.00042358739694160855,248,0.0007055847421118718,384,0.0002715343818347075,295.6666666666667,False
IRF9,479,0.00020686907633565472,195,0.0008362266051941939,213,0.00047358654233751926,295.6666666666667,False
FOXQ1,354,0.00031373190763588353,468,0.0003243136526360028,67,0.0008925106320854562,296.3333333333333,False
SIM2,376,0.0003018452858100318,335,0.0005107323838198379,179,0.0005624479752782463,296.6666666666667,False
SNAI2,485,0.00020162788085785385,27,0.002239241841743933,383,0.00027169730422595963,298.3333333333333,False
FOXC2,217,0.0004999782271928173,298,0.0005724499499289474,380,0.0002746984056746745,298.3333333333333,False
HOXD3,31,0.0012840215349569917,303,0.0005562099095792898,563,0.0001380531166733571,299.0,False
NEUROD2,235,0.0004543307705034749,593,0.0001740037206824733,69,0.0008886528694650527,299.0,False
PAX9,628,0.00010988773726323825,112,0.0011310545302573398,158,0.00060216313249839,299.3333333333333,False
SOX10,591,0.0001343704798427936,89,0.0012617138940186124,224,0.00044819727176369874,301.3333333333333,False
ONECUT1,305,0.0003679760591599764,528,0.00025148309927563637,71,0.0008790481444142036,301.3333333333333,False
PPARG,284,0.0003968648220810186,38,0.0018478960377251497,586,0.0001278392112079511,302.6666666666667,False
TSHZ3,346,0.00032625690193223514,122,0.0011065343428223666,440,0.00022817550773955494,302.6666666666667,False
BARX2,249,0.00043264519395052047,387,0.0004224313507582641,276,0.0003888546295153598,304.0,False
ATF7,251,0.0004306355776842944,197,0.0008324518324873982,465,0.00020480262395382217,304.3333333333333,False
CEBPB,113,0.0007581524458127357,396,0.0004082835401580572,411,0.00024586347057227914,306.6666666666667,False
LMO4,413,0.0002594288910586329,109,0.0011453383469415713,398,0.00026179023554580755,306.6666666666667,False
NR4A3,237,0.00045010104566548155,490,0.0002912232844209939,194,0.0005228140190979502,307.0,False
NFATC3,339,0.00033673359808972236,348,0.00048678809216653465,239,0.00042688804528552283,308.6666666666667,False
CEBPD,226,0.00046950674466016785,147,0.0010296013352368997,556,0.0001420791202614661,309.6666666666667,False
KAT6B,401,0.00027499113304353765,189,0.0008517173814349614,339,0.00031767659922176484,309.6666666666667,False
HAND2,558,0.00015070329504851543,125,0.0010986480176446397,248,0.00041706845538271866,310.3333333333333,False
CTNNB1,362,0.0003093581920192416,141,0.0010578535905551689,431,0.00023068664195591282,311.3333333333333,False
ELF2,119,0.0007419912782400691,706,7.543508697137232e-05,111,0.0007023291352500868,312.0,False
SIX1,229,0.0004595397940647672,173,0.0009063077189239265,534,0.00015804643471521254,312.0,False
SOX5,177,0.0005985339632085621,267,0.0006434069837268908,493,0.00018785587027849714,312.3333333333333,False
NACC1,179,0.0005953712419189591,296,0.0005763559927193759,463,0.00020648965327640194,312.6666666666667,False
KDM5D,246,0.0004360884799022339,366,0.0004428249882948876,335,0.0003217885329756124,315.6666666666667,False
REST,118,0.0007423655560463278,155,0.0009734856665697104,680,8.243561208125527e-05,317.6666666666667,False
MYC,683,8.132955216006247e-05,139,0.0010638991138724426,133,0.0006476589978698636,318.3333333333333,False
EGR4,28,0.001345353719261766,566,0.00020131435015476504,361,0.00029286594862583116,318.3333333333333,False
PPARD,96,0.0008420876244505493,474,0.0003190301149781286,391,0.00026655799087696626,320.3333333333333,False
EPAS1,415,0.0002586805614593383,105,0.001151789666255354,442,0.00022550012213287118,320.6666666666667,False
MLXIPL,590,0.00013497833896304693,163,0.000955014415376354,210,0.0004810146026784423,321.0,False
IRF4,175,0.0005997073303660727,682,9.332876236148499e-05,108,0.0007168745851837836,321.6666666666667,False
ETS1,343,0.00033087170454185373,269,0.0006373265065424979,355,0.0002996575368174585,322.3333333333333,False
NCOR1,182,0.0005816558625459341,516,0.0002633219809467846,271,0.00039347760487847455,323.0,False
USF1,365,0.0003084114583970177,330,0.000520081600135569,280,0.00038356715714845296,325.0,False
LRRFIP1,522,0.0001721101684485878,256,0.0006853249771211267,198,0.0005194512707021204,325.3333333333333,False
TFDP1,78,0.000957877481490262,227,0.0007523557656744136,674,8.47295529628885e-05,326.3333333333333,False
AHR,494,0.0001942521110455194,34,0.002041122912123683,455,0.0002116227924185902,327.6666666666667,False
FOXA2,360,0.00030953982191022077,236,0.0007352783735948758,390,0.0002672720138510461,328.6666666666667,False
DMAP1,218,0.0004995458564584017,375,0.0004312842715383643,396,0.0002627455267884216,329.6666666666667,False
ASCL2,112,0.0007703828821983431,631,0.00014333973943697249,246,0.0004198631421142333,329.6666666666667,False
NKX3-1,207,0.0005300015272420448,252,0.0006921779412399095,531,0.00016255176791849142,330.0,False
ING4,418,0.00025747867778136424,346,0.0004887126253682557,233,0.0004358258873556527,332.3333333333333,False
ISL1,427,0.0002507724258966467,196,0.0008326422218980649,374,0.000279310631935914,332.3333333333333,False
JUN,169,0.0006264487765288133,313,0.0005437124306808983,515,0.00017145200864329506,332.3333333333333,False
TFAP4,359,0.0003102911017852724,487,0.00029377358165826685,154,0.0006195865389455453,333.3333333333333,False
PATZ1,309,0.00036658290636826983,428,0.0003729200044896667,273,0.0003913189725722077,336.6666666666667,False
HOXB4,463,0.0002171795924065615,411,0.00039816117424985956,142,0.0006349779727012598,338.6666666666667,False
TFE3,253,0.0004281192645066767,482,0.0003055704704517363,285,0.00038011892561371494,340.0,False
NHLH2,755,3.762065531328259e-05,144,0.0010468143308268432,122,0.0006728118201256923,340.3333333333333,False
BHLHA15,527,0.00017029039720592258,327,0.0005210981346181143,168,0.0005889722273233626,340.6666666666667,False
E2F4,239,0.00044648072252471136,700,7.81188871584959e-05,83,0.0008215725070992145,340.6666666666667,False
HOXB1,244,0.00043788940179183554,165,0.0009541080905061486,614,0.00011520098478960961,341.0,False
PITX3,213,0.0005196307630133864,316,0.0005379611748139723,495,0.00018523486123698992,341.3333333333333,False
ARNT,219,0.0004975130249931681,642,0.00013021456891498435,167,0.0005895788826213295,342.6666666666667,False
ZKSCAN7,162,0.0006406472368216972,392,0.00041384321807148204,475,0.00020116053261638457,343.0,False
HMGA2,307,0.0003675302812401545,447,0.00034520694638710364,275,0.0003895831787720757,343.0,False
MLX,266,0.0004154214488304812,213,0.0007829066151771258,551,0.00014504298165286163,343.3333333333333,False
POU2F3,248,0.00043270862370263784,527,0.0002516182822319024,258,0.0004071124276985453,344.3333333333333,False
PAX5,691,7.899357300242827e-05,181,0.000870929819423812,162,0.0006004542599839624,344.6666666666667,False
TBX1,267,0.00041374252913328746,471,0.0003230788060515503,296,0.0003713749732469296,344.6666666666667,False
ETV7,611,0.00011893993227166297,306,0.0005485990173535053,119,0.0006775809449360774,345.3333333333333,False
ZNF300,66,0.0010152792691466553,689,8.777786129693747e-05,284,0.0003806020568996852,346.3333333333333,False
FOXF1,596,0.00013236930336321489,312,0.0005467223906028569,131,0.0006507005927232967,346.3333333333333,False
SCX,187,0.0005713158444526319,311,0.0005469100981656538,545,0.00015248545643623915,347.6666666666667,False
SHOX2,264,0.0004175553090287091,456,0.0003352480967199275,327,0.00032915289452830623,349.0,False
NR1I2,419,0.0002553532489741883,363,0.0004518071518684034,265,0.0003986456169390825,349.0,False
POU2AF1,633,0.00010833587841716508,92,0.0012357161306378354,323,0.0003336982813228436,349.3333333333333,False
POU3F1,193,0.0005592007356653994,349,0.0004821117190677645,512,0.0001731920345036997,351.3333333333333,False
AP1,222,0.0004839202220864536,699,7.82798406630647e-05,138,0.00064394421618393,353.0,False
MAZ,172,0.0006122016628485956,180,0.0008729528196586973,707,6.88614877361271e-05,353.0,False
PLAGL1,220,0.0004953192957145802,473,0.0003217601157909182,367,0.00028818297757879916,353.3333333333333,False
NR2E1,103,0.0008115505758572301,666,0.00010730209239113719,294,0.00037257151242139723,354.3333333333333,False
FLI1,368,0.0003070073526032502,401,0.00040705485424344563,298,0.00036893535061241305,355.6666666666667,False
NR1H3,355,0.0003122328092255581,285,0.000599512049848272,428,0.0002325244181747621,356.0,False
WT1,184,0.0005766809288616059,184,0.0008587418386014178,702,7.114255030842287e-05,356.6666666666667,False
VEZF1,453,0.00022774894832764404,370,0.0004419347868861223,247,0.00041848515796421757,356.6666666666667,False
MSX1,746,4.2395320740714244e-05,13,0.002759268897474006,312,0.00034705330629852447,357.0,False
PAX8,282,0.0004021042175073338,714,6.949783942609145e-05,77,0.0008448654607642917,357.6666666666667,False
NOTO,296,0.0003811164269791334,350,0.00048047059317468666,430,0.00023082645724722777,358.6666666666667,False
ZBTB17,462,0.00021766493740642544,404,0.000406440295516101,211,0.00048091846233641415,359.0,False
ZNF148,210,0.0005256122284966598,332,0.0005156483665208119,542,0.00015413082249627526,361.3333333333333,False
TEAD4,332,0.0003440812345161248,636,0.00013776569306382194,118,0.0006789278914766328,362.0,False
MYCN,42,0.0011913067998345166,452,0.00033893590554422793,599,0.00012026549692384,364.3333333333333,False
HSF2,313,0.00036288248151284584,282,0.0006141822078006953,500,0.00018303728786956224,365.0,False
MTA1,534,0.0001667937173294239,211,0.0007863538037781836,352,0.00030451786416657947,365.6666666666667,False
HIVEP2,178,0.000596308212425356,697,7.967104002849131e-05,222,0.00045435122747979523,365.6666666666667,False
IRF5,283,0.0004016424132158155,337,0.0005078871078846229,480,0.00019781841128908202,366.6666666666667,False
FOXL2,318,0.00035722720296386495,501,0.00027701903782144653,282,0.00038228966755771886,367.0,False
NCOA6,84,0.0009184193335992556,310,0.0005471998659534923,709,6.861305244593533e-05,367.6666666666667,False
EHF,334,0.000340624437740189,384,0.00042482750228979663,388,0.0002675115098782044,368.6666666666667,False
ZNF217,392,0.0002827414724265509,344,0.0004980521538679265,373,0.00027998016272666367,369.6666666666667,False
SOX11,352,0.0003171627064451362,489,0.00029199077619826614,270,0.0003935272517082922,370.3333333333333,False
TBPL2,690,7.9135463186919e-05,178,0.0008865992509981879,244,0.00042149987163308346,370.6666666666667,False
KAT5,170,0.0006249938816608846,653,0.00011761978892460926,289,0.0003772777807455441,370.6666666666667,False
ZNF350,106,0.0007964893255424007,343,0.0005011316514128339,666,8.746393654715709e-05,371.6666666666667,False
TFCP2,554,0.00015327778914032327,110,0.0011445936621233461,453,0.00021633234327242217,372.3333333333333,False
HOXA2,214,0.0005187796889269217,550,0.00021926494676828648,353,0.0003027882153560313,372.3333333333333,False
RFX3,400,0.0002765569472254962,207,0.0007973672145377956,511,0.00017327876456458096,372.6666666666667,False
FOXE1,97,0.0008359820008233025,678,9.731840832311415e-05,343,0.0003113783238669991,372.6666666666667,False
TBP,516,0.00017543849017063925,95,0.001205314556985589,508,0.00017412261376108517,373.0,False
ZNF331,394,0.0002794816780048374,315,0.0005415854561457915,414,0.00024490254361163956,374.3333333333333,False
PA2G4,508,0.00018237007098302152,496,0.00028287535484234163,123,0.0006702288893772371,375.6666666666667,False
HDAC5,608,0.0001235310387836345,185,0.000857832360543398,334,0.0003232467059888222,375.6666666666667,False
NFE2L3,497,0.00019305274114837326,219,0.0007622710834766621,413,0.0002453146373227355,376.3333333333333,False
NANOG,402,0.00027314027544586377,406,0.0004031787883225964,321,0.00033559726084604337,376.3333333333333,False
VSX2,599,0.00013016843253363202,80,0.0013450682185672728,451,0.00022159781558409955,376.6666666666667,False
TWIST2,198,0.0005461247670609737,488,0.00029233827875335314,447,0.00022312801182427695,377.6666666666667,False
SREBF2,102,0.000816170575308206,754,3.591654593672426e-05,278,0.0003850249266482327,378.0,False
IRF7,192,0.0005597471213150129,405,0.0004055501338977289,539,0.0001546716788766389,378.6666666666667,False
