# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 11 = 396 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
PHOX2B,0.0006555370346177369,0.00047484298888556545,0.00020043153199367225,0.0021537526044994593,155
HIVEP2,0.0006524515993078239,0.00042830124869096855,0.00014271074905991554,0.0016284310258924961,156
NKRF,0.0006515154933698465,0.0005644408031482745,6.623187800869346e-05,0.002013606484979391,157
FOXM1,0.0006502670651322908,0.0004725089066747814,9.64334758464247e-05,0.0015476561384275556,158
MECOM,0.0006437179676361142,0.0004459147948137359,7.000839104875922e-05,0.0015397900715470314,159
HOXA10,0.0006430867349949535,0.0007043085315537451,2.1374509742599912e-05,0.002489978214725852,160
ETS2,0.0006395558264722985,0.0004477973501710769,5.3564330301014706e-05,0.001738953054882586,161
PREB,0.0006395051512051643,0.0003848942599983999,8.411538874497637e-05,0.001424150075763464,162
GSC,0.0006378781873729278,0.0003881744827467676,0.00014310704136732966,0.0012856886023655534,163
NPAS2,0.0006347942902665994,0.000481262434633613,8.525060547981411e-05,0.0016002960037440062,164
SMAD7,0.0006330643329620801,0.0005178757461499485,1.5128057384572458e-06,0.0021752144675701857,165
NR0B2,0.0006310702660123228,0.00046078782323484574,3.753824421437457e-05,0.0015592725249007344,166
PITX1,0.000629648713680636,0.00048267113768390405,3.7900037568761036e-05,0.0016668809112161398,167
KAT5,0.0006260481654311607,0.0003827758258764211,2.78981988230953e-05,0.0013167625293135643,168
PGR,0.0006245288067558166,0.00041369843667431243,0.00015999787137843668,0.00173145008739084,169
JUN,0.0006157088716883774,0.0005357829710177296,4.760356023325585e-05,0.002252599224448204,170
XBP1,0.0006105911040018933,0.0004000955695104191,9.661710646469146e-05,0.0014676603022962809,171
PRDM16,0.0006080143314399968,0.0003763115782313099,0.00016098484047688544,0.001541092642582953,172
FIGLA,0.0006042548646457197,0.00038036663828376935,7.808407099219039e-05,0.0014539037365466356,173
SOX5,0.0006024440422014309,0.00040295207799356694,9.819591650739312e-05,0.001577946124598384,174
MAZ,0.0005984356228864409,0.0004016057716591,3.8715547816536855e-06,0.0013712022919207811,175
HOXA2,0.0005984069004322615,0.0005342561043171569,3.11083385895472e-05,0.0020173729863017797,176
WT1,0.0005977139490741221,0.00020808803677779738,0.00021958278375677764,0.0009558688034303486,177
LMX1B,0.0005944571826837615,0.0005676181809967842,7.88005709182471e-05,0.002534449566155672,178
MAF,0.0005932931686267941,0.0004179941260654235,5.4584461395279504e-06,0.001268688589334488,179
SCX,0.0005902982037090018,0.0004869848541655493,3.853722955682315e-05,0.0015003448352217674,180
ARID5B,0.0005878159659694189,0.0002888193418465025,0.00021758921502623707,0.0011901846155524254,181
IRF4,0.0005864397664867504,0.00028047838846572554,0.0001024155062623322,0.0010202274424955249,182
STAT1,0.0005849730709996948,0.0003710391824068821,5.963060903013684e-05,0.001367259887047112,183
PRDM2,0.0005836233331413523,0.0005119049176634427,5.9301615692675114e-05,0.0018161823973059654,184
IRF7,0.0005830606003338758,0.00039548095746928585,1.7224496332346462e-05,0.0014632553793489933,185
EOMES,0.0005821261702018974,0.0006498201950247042,6.964315252844244e-05,0.002566642826423049,186
SUPT20H,0.0005792531512931666,0.00044891276776020696,2.8625836421269923e-05,0.0015266099944710732,187
ETV3,0.0005771590270162988,0.0004752154641405221,3.6348596040625125e-05,0.0016269865445792675,188
ZFP42,0.0005743411476294458,0.0005831110870426063,1.4474949239229318e-05,0.002201441442593932,189
NACC1,0.0005733560034114458,0.00024050164533412143,0.00022770401847083122,0.0009516996215097606,190
SMARCA4,0.000569803340815931,0.0005615626558791277,5.802238956675865e-05,0.0019296185346320271,191
NAB2,0.0005668838461767309,0.00028235856167153916,1.7306863810517825e-05,0.0009556594304740429,192
E2F7,0.0005660402864095611,0.00039692574759659467,5.647228681482375e-05,0.001468295231461525,193
WWTR1,0.0005645645507828787,0.0005317686412725011,1.5340050595114008e-05,0.0016466900706291199,194
ARID4B,0.0005620186576021351,0.0004000458026525704,5.856830830452964e-05,0.0013776824343949556,195
HOXA1,0.0005618722819538865,0.0005993223987025843,2.076374221360311e-05,0.0024433492217212915,196
CREB1,0.000561851157961042,0.0005653330806941719,4.307187191443518e-05,0.0021560867317020893,197
NCOR1,0.0005614255205728114,0.0004431906023839327,9.705097909318283e-05,0.0014167935587465763,198
ZHX2,0.0005568382173282082,0.0005425525232173146,3.0341270758071914e-05,0.0022488608956336975,199
PAX4,0.0005562089413891072,0.000432590398115315,9.894572031043936e-06,0.0013777195708826184,200
PITX3,0.0005561126174666931,0.00039937522390914886,4.811811231775209e-05,0.00137321837246418,201
POU3F1,0.0005512609535054997,0.000452570912686596,3.361544804647565e-05,0.001731853000819683,202
CREBZF,0.0005406412326396314,0.0003662700767742323,3.929200829588808e-05,0.0013991778250783682,203
CREB5,0.0005404440561175182,0.0003290624796784338,4.8472240450792015e-05,0.001092878170311451,204
ZNF148,0.0005402397407923479,0.00045915691177679735,0.00012003180017927662,0.0016038039466366172,205
NKX3-1,0.0005394735910682136,0.0004209656212124548,2.2541065845871344e-05,0.0014684979105368257,206
TWIST2,0.0005385671090952008,0.0002708598870508616,0.00011014153278665617,0.0012058612192049623,207
PLAGL1,0.0005321535554685397,0.0003214376523701027,0.00012803949357476085,0.001055337255820632,208
MITF,0.0005316293093556217,0.00034283792948637255,4.5898537791799754e-05,0.0013262180145829916,209
TRIM28,0.0005266473430531208,0.0005651688530372203,2.372870767430868e-05,0.0023118844255805016,210
HOXD10,0.0005252206514011381,0.0002886588592129091,9.465389302931726e-05,0.0009936753194779158,211
DBP,0.0005231420724144162,0.00034899894638827563,1.7006334019242786e-05,0.001245354418642819,212
GATA4,0.0005190221236537609,0.0002810263735791931,0.00011908238229807466,0.0009911115048453212,213
RORB,0.0005170333733951448,0.00040960117056905996,8.21034063847037e-06,0.0012164845829829574,214
TBX10,0.0005138247355110556,0.0003424687786134436,7.470982382073998e-05,0.0012979836901649833,215
DMAP1,0.0005125503556138773,0.00038942850185734213,6.74184484523721e-05,0.0014289739774540067,216
TCF20,0.0005064448108807042,0.00032462876451470353,4.8595707085041795e-06,0.0012272048043087125,217
SIX1,0.0005059964786128011,0.0004467491341836372,5.309336120262742e-05,0.0017104806611314416,218
HHEX,0.000505942481368038,0.00023024719838776901,3.5536348150344566e-05,0.0009653185843490064,219
AP1,0.0005052341382521042,0.00035408281307889157,2.619248152768705e-05,0.0011046197032555938,220
TCF7,0.000499895683650252,0.0004032742751812295,9.933685214491561e-05,0.001497178804129362,221
CEBPD,0.000495048174639597,0.00045847876707945867,8.595948202128056e-07,0.0016663793940097094,222
GLI2,0.0004917312827742672,0.0002930681602551179,0.00014204297622200102,0.0010601822286844254,223
NCOA1,0.0004880864479170641,0.0004807519649951783,7.726294825260993e-06,0.0016883618663996458,224
CIITA,0.00048514895775731543,0.00034519753959080823,5.026189683121629e-05,0.0012951547978445888,225
NKX6-3,0.0004820831434037907,0.0002792427614281929,7.83188734203577e-05,0.0009690799633972347,226
AR,0.0004805025611090335,0.0003021820275319385,1.3697220992980874e-06,0.0009784477297216654,227
ESR2,0.0004768699278759992,0.0004261891861760221,4.058295235154219e-05,0.0016958733322098851,228
FOXC2,0.00047490593922041376,0.00029607382782423467,3.9341688534477726e-05,0.0010481377830728889,229
ZFHX3,0.000472229502065602,0.000307220073592368,3.7144993257243186e-05,0.0009611263521946967,230
OLIG1,0.0004638283492595568,0.00032295064617163504,6.42141530988738e-05,0.0010736014228314161,231
FOSL2,0.0004633053604955035,0.00035566937946554685,4.899820851278491e-05,0.0010708068730309606,232
RARG,0.0004603848916358953,0.00043581346301780515,4.821382390218787e-05,0.0014408787246793509,233
SIX4,0.0004596795706950643,0.00027822220479685987,0.00010725344327511266,0.0010680754203349352,234
NR2C1,0.00045935658189674456,0.0003315612978660765,9.925410995492712e-05,0.0012509588850662112,235
BATF,0.0004586491939293906,0.00030143519852293075,7.634214853169397e-06,0.0012329381424933672,236
SALL2,0.00045787547768475525,0.0002794257466573788,4.066006658831611e-05,0.0009578853496350348,237
ARNT,0.00045678272682848865,0.0003550055004089567,7.119911606423557e-05,0.0015921189915388823,238
NR4A3,0.0004560117660565249,0.00032249815434121873,8.171534864231944e-05,0.0012889184290543199,239
ATF7,0.00045433383159874984,0.0005163490532431713,8.64141111378558e-06,0.0019679998513311148,240
PLAGL2,0.0004535425856981116,0.0003333940317663614,8.220820018323138e-05,0.0013133315369486809,241
ZBTB4,0.0004528478515443236,0.00044616414410414103,1.1390861800464336e-05,0.0014716940931975842,242
PBX2,0.00045272912124842566,0.0002737799483258039,3.841559009742923e-05,0.0011068828171119094,243
EGR2,0.0004502552251737639,0.00046083747371903266,2.219876660092268e-05,0.001804959261789918,244
KDM5D,0.0004494518072368175,0.00026140118619675157,2.9041666493867524e-05,0.0010340426815673709,245
MEIS2,0.00044943781929098555,0.000326088129783314,2.7321784727973863e-05,0.0010425534565001726,246
NEUROD2,0.0004470444689352669,0.0003678219753189553,3.674600520753302e-05,0.0015612865099683404,247
ARID1B,0.0004434614789081961,0.00043804563211134186,4.065183020429686e-06,0.001750665600411594,248
BARX2,0.00044319216992031823,0.0003603857714119436,3.791478229686618e-05,0.0011695659486576915,249
CEBPG,0.00043977344461326896,0.0003063431534851382,3.125318471575156e-05,0.001012901309877634,250
MBD1,0.00043974640758540664,0.0002417430128276771,3.2650316370563814e-06,0.0009248846909031272,251
BRD4,0.0004370358215744614,0.00030693573408457924,6.338498496916145e-05,0.0010796260321512818,252
ELK4,0.0004350201294128607,0.000408623693869265,1.3129042599757668e-05,0.00157917442265898,253
RFXAP,0.0004341698296760848,0.00031372270537775003,1.474955638514075e-06,0.0010034985607489944,254
TFE3,0.00043358407889503394,0.00021875198158040457,0.0001646722957957536,0.0009480207809247077,255
HIC1,0.00043337381111307354,0.0002423238001469337,1.4245696547732223e-05,0.0009307608124800026,256
NFIB,0.00043311467473386347,0.0004369883158345922,4.82866853417363e-05,0.0017340410267934203,257
SMAD9,0.00042498534891378904,0.000305167101312552,1.1436329259595368e-05,0.0011405032128095627,258
SOX7,0.0004232804330416856,0.00031177045985421705,3.000722972501535e-05,0.0011128970654681325,259
HOXC6,0.00042259638133724695,0.00032417129377669703,4.185930811217986e-05,0.0011716686422005296,260
RUNX3,0.00041895074047825994,0.0003597935627784813,1.8299970179214142e-05,0.0011056752409785986,261
LEF1,0.0004175833245491931,0.0002610801794326325,6.627995753660798e-05,0.001048257458023727,262
MECP2,0.0004171559552160585,0.00036279170151954466,3.780512543016812e-06,0.00135191367007792,263
EP300,0.00041690681075234545,0.00028255472510682795,1.67591315403115e-05,0.0008253388805314898,264
FOXN1,0.00041688296774240865,0.0002871911299064783,0.00010768993524834514,0.0010949785355478525,265
HDAC3,0.0004139169417281995,0.0002068883617970302,0.00010158371878787875,0.0008408031426370144,266
YBX3,0.0004133205518221737,0.00024197532909809224,8.794254972599447e-05,0.0008692521369084716,267
DOT1L,0.00041245734087169694,0.00022515871859903777,7.044360700092511e-06,0.0008126933826133609,268
MLX,0.00041214363392155616,0.00030883111645892407,1.5659730706829578e-05,0.00108437763992697,269
POU2F1,0.0004111323158412867,0.0003734832223540411,8.263728886959143e-06,0.0012804166181012988,270
ELF4,0.0004105643704612951,0.00034071741223479587,5.8516172430245206e-05,0.0013448476092889905,271
STAT6,0.0004086133823021197,0.000302337818344851,3.5405329981585965e-05,0.0009642865043133497,272
SHOX2,0.0004082126040223309,0.00023958102953539068,4.2527171899564564e-05,0.0007430229452438653,273
CEBPZ,0.0004070371051608218,0.00018376929914036715,0.0001653876097407192,0.000784629606641829,274
PPARG,0.00040277364551553603,0.00027604495779613486,0.00011591542715905234,0.0009811396012082696,275
