tf,importance_mean,importance_std,rank
TBX15,0.0003597184153835714,6.987858462570737e-05,440
MYBL1,0.0003596418840685936,5.552088675201945e-05,441
ZNF91,0.00035752906832758267,0.0002996070209165303,442
RCOR2,0.0003566707757543536,5.5868269286739034e-05,443
TEAD4,0.0003561747311176427,0.0001266663867130633,444
SRY,0.00035602531764110645,8.831760687897425e-05,445
IRF1,0.0003555991033171152,0.00011455088008965993,446
BCLAF1,0.00035442292448921095,0.00019815788410466176,447
MAML1,0.0003510212012324792,0.00027095121438077465,448
HOXA4,0.00035023957031401625,9.43951955304153e-05,449
TFAP4,0.0003502180439923707,7.04356422838817e-05,450
SMAD2,0.00034855087113381237,0.00022082614351452522,451
NKX2-2,0.000347109558571179,7.515757858468687e-05,452
RFX4,0.00034653118964695983,0.00012945897634962836,453
MED1,0.0003461674839433898,0.00013327052805393795,454
KAT2B,0.0003422363725956465,0.0003246088556873197,455
POU4F3,0.0003421312152869003,0.00014105426248563503,456
EN1,0.00033974745996248303,6.26803671780996e-05,457
FOXA2,0.00033958220722015564,3.122051284347626e-05,458
UBTF,0.00033825119207720475,4.440605960184169e-05,459
NFE2L3,0.00033821876683054865,0.00025756250410653307,460
FOXO3,0.00033718306069015794,0.00019119547727284355,461
MIXL1,0.0003353896065983357,0.0001801419364831747,462
ZFX,0.00033434844385508283,0.0002145321878508124,463
ETV1,0.00033423895662522364,0.00018985039590436214,464
ARID4A,0.00033360628696836695,0.0001313792437279859,465
ATRX,0.00033242351296256385,0.0001672378405646798,466
MXD1,0.00033175583993020935,0.00010943881424422439,467
BRCA1,0.00033174004069697,7.70344736289502e-05,468
PITX2,0.00033091246980646504,0.00020657127876894858,469
CHD4,0.00032721993607129205,0.00010779752123608,470
IRF2,0.0003271725443969766,0.00010727739482679578,471
ZNF236,0.00032634004850998015,2.6683816527781538e-05,472
ABL1,0.00032623651456252213,0.0002805305161899364,473
RREB1,0.0003248763032641161,1.9116558239040227e-05,474
CTCFL,0.0003241212611679127,7.46934662546759e-05,475
MSX2,0.00031998493214269625,9.935011702505133e-05,476
EPAS1,0.00031927081900016903,4.866454113344015e-05,477
ZBTB17,0.000317816287958672,6.199185659543793e-05,478
SOX11,0.0003177048015045743,4.217893501172638e-05,479
NFKBIB,0.0003167184555626374,0.0002827879084863196,480
OVOL1,0.00031161068970086855,2.1464830159227568e-05,481
HBP1,0.0003110162435228227,0.00011657289265512261,482
RFX3,0.00031005913875833816,0.0001513860349904737,483
IKZF2,0.00030787750548333495,1.665952465021134e-05,484
ID1,0.0003077576504663261,0.00011455326332138686,485
NFKB,0.000307220062419359,6.385891978792896e-05,486
PEG3,0.0003065797872148672,0.0001247876310294415,487
CREM,0.0003058733434803264,0.00016856449664979397,488
SPIC,0.00030258926016119746,0.00010335516865100716,489
MKX,0.0003003670871330909,2.263112145220115e-05,490
SMARCA1,0.0003002195133978254,0.00015528584791976542,491
NR1I2,0.00029677931260234483,7.340614070142938e-05,492
TGFB1I1,0.00029636138385617106,0.00020376963862154531,493
NR2F1,0.0002951822740067717,0.0001368421615307442,494
RORC,0.000293333117275609,7.674362495177952e-05,495
NFATC1,0.0002924866353984239,5.595105508810807e-05,496
KLF13,0.0002922248221164919,6.252994539814719e-05,497
ING4,0.00028783364097757796,9.15037455252009e-05,498
NFE2L1,0.00028710119483153594,9.524362494556006e-05,499
DLX5,0.00028496267117447764,0.00017767353480074483,500
ZNF382,0.00028452898496799766,0.00016014044237997366,501
PAX3,0.00028315715013949364,0.00014987356411588765,502
TBX21,0.00028177672243174644,5.465744404948002e-05,503
ETV7,0.00028068677869283774,0.0001294790622110744,504
NFE2,0.00028067081752461225,0.00012002111656093776,505
SMAD3,0.00027997640439941514,0.00011226939242569352,506
ATOH7,0.0002799538515946646,8.715754039967526e-05,507
