tf,importance_mean,rank
MEF2C,0.0001843769487043739,507
GLI3,0.00018386977273645712,508
E4F1,0.00018330250805597575,509
MBD2,0.00018323952884092057,510
EBF1,0.0001819723438874269,511
HOXA11,0.00018108091226632826,512
SOX10,0.0001806661046888428,513
KLF17,0.00017991587087911313,514
FOXP1,0.00017970997753584953,515
CDX1,0.0001795985756967694,516
ZFX,0.0001792659796199752,517
HMGA1,0.00017916368049995844,518
KDM5A,0.00017875034319838747,519
HOXB4,0.0001771941911308452,520
NCOA2,0.00017686729731367174,521
MYT1,0.00017532196645650842,522
ETV1,0.00017455754463450526,523
HOXA4,0.0001744094036045033,524
CREM,0.00017373336760845797,525
ZIC1,0.00017233189293902439,526
NR3C1,0.0001715820795742261,527
GATA5,0.0001701682876197689,528
TGFB1I1,0.0001693044231560083,529
NR4A1,0.00016860778735904068,530
PML,0.00016826243615992786,531
NR2E3,0.00016762478861148173,532
LRRFIP1,0.00016669366311127692,533
CREBBP,0.00016568588474821368,534
MTA1,0.0001650741499888268,535
CREB3,0.00016486944589428964,536
HEY2,0.0001642124340211274,537
MEF2D,0.0001622665844975431,538
POU3F2,0.000162025785617502,539
HEYL,0.00016096277470744485,540
ATF6,0.00016025747175152708,541
KLF3,0.0001600879537352026,542
PIN1,0.00015989515222990963,543
KAT2B,0.00015972762112555344,544
MYF5,0.00015972293348650882,545
TP53,0.00015971734453132464,546
ATRX,0.00015944287875930223,547
GLIS3,0.00015894918979683732,548
NKX2-5,0.00015887677454884397,549
HAND2,0.00015862576036642113,550
ZNF384,0.00015786013580743725,551
NKX6-1,0.0001578252712754351,552
HOXD4,0.0001570215827689825,553
STAT5A,0.0001569673126258556,554
IRF9,0.00015548177195200174,555
NR2F1,0.00015519083814124866,556
MAFG,0.0001521639026381391,557
NR5A1,0.0001515307555468043,558
FOXA3,0.00015078876611017802,559
MYOCD,0.000150612204213923,560
PAX2,0.00014869287223698543,561
NR5A2,0.00014869124315453064,562
TADA2A,0.00014856655593231346,563
MYF6,0.0001477991295773377,564
IRF2,0.00014741893026955685,565
ZBTB16,0.00014729585653626464,566
PA2G4,0.00014721353456900144,567
ZNF143,0.0001467443254953058,568
