# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 20 = 720 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
LMX1B,0.0006049967829767411,0.0005718529770160832,7.91764368841541e-05,0.0025644844863563776,175
HOXA2,0.0006017573706609861,0.0005255971146758922,4.427628000485129e-05,0.0019432832545135162,176
MAF,0.0005985840736788835,0.0004220943048410114,5.4564674883295085e-06,0.001279303809860721,177
ARID4B,0.0005981089286024143,0.0004206966432026166,5.5936564149305926e-05,0.0014452345203608274,178
WT1,0.0005976265356972969,0.00020746100743637008,0.0002195190540078329,0.0009558688034303486,179
STAT1,0.0005964839204883295,0.0003768684422879025,0.00012069177410012348,0.0016456037934403861,180
ARID5B,0.0005953962835822797,0.00029219074693500073,0.00021756586465926375,0.0012343551003141326,181
MAZ,0.0005947314181279731,0.0003972763656088425,3.871357000662101e-06,0.0013716623157961293,182
PRDM2,0.0005936715204673723,0.0005193915474816582,6.56216132483678e-05,0.0019110822351649404,183
IRF4,0.0005927708261272831,0.0002806424167630818,0.00010244193163089221,0.001018040903727524,184
SCX,0.0005904523314635905,0.00048541586946927295,3.925358405467705e-05,0.0015058782882988453,185
IRF7,0.0005844819407495076,0.0003933347125913313,1.7158871469291625e-05,0.0013855533761670804,186
ETV3,0.0005841279487905619,0.00048100279517612667,3.964387851738139e-05,0.0018227273627417161,187
EOMES,0.0005819966483613826,0.0006487605716852317,7.263916504598456e-05,0.0025774806272238493,188
SUPT20H,0.0005814198874910895,0.00044987511276792247,2.867394655368116e-05,0.0015396528178825974,189
CREB1,0.0005793734743065216,0.0005810369426409542,4.304335425331374e-05,0.0022188147995620966,190
NACC1,0.0005788483105789056,0.00024049969232433168,0.00022936018467589747,0.0009516996215097606,191
SMARCA4,0.0005771244570572284,0.0005669642428054055,5.859558241354535e-05,0.0019367876433534549,192
ZFP42,0.0005758070995890799,0.0005844560091798443,1.447480829028791e-05,0.002201441442593932,193
WWTR1,0.0005715966405754595,0.0005345240511448253,1.533504184862977e-05,0.0016467655252199618,194
HOXA1,0.0005708466471332941,0.000603927488740167,2.151487001356145e-05,0.0024651027924846853,195
E2F7,0.0005686630681339011,0.0003962747605405565,5.645004457619507e-05,0.0014814752328675238,196
NAB2,0.00056863990163644,0.0002830169874701648,1.7328008198091993e-05,0.0009549822600092738,197
NCOR1,0.0005666977752904738,0.00044716796595083516,9.494629830442136e-05,0.001489833812229335,198
PAX4,0.0005655859215380587,0.00043793103909841577,9.8943077318836e-06,0.0013777277374174446,199
