drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
gossypol,0.81550294,0.037549302,0.75094205,22,Breast (including 12 TNBC),250
KW-2478,0.8156076,0.03760252,0.7509907,22,Breast (including 12 TNBC),251
PP-121,0.8172739,0.037595216,0.7526085,22,Breast (including 12 TNBC),252
SR-33805,0.81801677,0.03762016,0.75326216,22,Breast (including 12 TNBC),253
AZD1480,0.8197922,0.03764487,0.7550395,22,Breast (including 12 TNBC),254
lasalocid,0.8202512,0.037677422,0.755473,22,Breast (including 12 TNBC),255
acivicin,0.82175356,0.037661955,0.7571011,22,Breast (including 12 TNBC),256
dioscin,0.82183135,0.037669994,0.7571443,22,Breast (including 12 TNBC),257
cediranib,0.8222807,0.03767244,0.75757414,22,Breast (including 12 TNBC),258
ku-0063794,0.82264704,0.03770893,0.7577915,22,Breast (including 12 TNBC),259
metatinib,0.8228441,0.037727702,0.7579811,22,Breast (including 12 TNBC),260
PU-H71,0.82303965,0.037566572,0.75846165,22,Breast (including 12 TNBC),261
TAK-632,0.82376504,0.037715893,0.75888133,22,Breast (including 12 TNBC),262
triapine,0.82406706,0.037714023,0.7592861,22,Breast (including 12 TNBC),263
thonzonium,0.8243204,0.037772726,0.7594331,22,Breast (including 12 TNBC),264
tryptanthrin,0.8243513,0.037707258,0.7596236,22,Breast (including 12 TNBC),265
selumetinib,0.8247289,0.0376958,0.7599082,22,Breast (including 12 TNBC),266
9-aminoacridine,0.8258162,0.0377965,0.7608665,22,Breast (including 12 TNBC),267
tremorine,0.8258823,0.037800703,0.7609237,22,Breast (including 12 TNBC),268
hypoestoxide,0.826631,0.03777568,0.76171,22,Breast (including 12 TNBC),269
NVP-TAE226,0.82668096,0.037758257,0.7618065,22,Breast (including 12 TNBC),270
triciribine,0.82686424,0.037768308,0.7619249,22,Breast (including 12 TNBC),271
AZD8330,0.8277078,0.037833586,0.76262933,22,Breast (including 12 TNBC),272
berberine,0.82770914,0.037798703,0.76280385,22,Breast (including 12 TNBC),273
CEP-32496,0.8278771,0.037787464,0.7629064,22,Breast (including 12 TNBC),274
lomefloxacin,0.82889616,0.037826177,0.7639661,22,Breast (including 12 TNBC),275
marimastat,0.82928187,0.037803877,0.76432276,22,Breast (including 12 TNBC),276
oxyphencyclimine,0.82970613,0.03782133,0.7648168,22,Breast (including 12 TNBC),277
BMS-387032,0.8299107,0.03784375,0.7649172,22,Breast (including 12 TNBC),278
teroxirone,0.83069795,0.0379012,0.7655727,22,Breast (including 12 TNBC),279
tivantinib,0.83152676,0.037890572,0.76639384,22,Breast (including 12 TNBC),280
entinostat,0.8319312,0.037875585,0.76690525,22,Breast (including 12 TNBC),281
dacomitinib,0.8319723,0.03787631,0.7669162,22,Breast (including 12 TNBC),282
cetylpyridinium,0.8320372,0.037917882,0.76686656,22,Breast (including 12 TNBC),283
albendazole,0.8321136,0.03760999,0.76731116,22,Breast (including 12 TNBC),284
zardaverine,0.8323047,0.03791474,0.76710707,22,Breast (including 12 TNBC),285
oxibendazole,0.8327297,0.037725557,0.7678508,22,Breast (including 12 TNBC),286
AT13387,0.8335177,0.03778504,0.768507,22,Breast (including 12 TNBC),287
SB-939,0.8337643,0.037938204,0.76865476,22,Breast (including 12 TNBC),288
diclazuril,0.8339542,0.037963796,0.7686941,22,Breast (including 12 TNBC),289
PF-03814735,0.8341575,0.037911724,0.7690791,22,Breast (including 12 TNBC),290
narasin,0.83471084,0.037967674,0.769475,22,Breast (including 12 TNBC),291
Ro-90-7501,0.8352175,0.037943322,0.76990944,22,Breast (including 12 TNBC),292
pevonedistat,0.8361145,0.037975736,0.7709121,22,Breast (including 12 TNBC),293
PTC-209,0.8367861,0.03802414,0.77138364,22,Breast (including 12 TNBC),294
trametinib,0.83713305,0.038003057,0.7718846,22,Breast (including 12 TNBC),295
pralatrexate,0.8372688,0.038011014,0.77202433,22,Breast (including 12 TNBC),296
dexrazoxane,0.83744836,0.03796564,0.77224,22,Breast (including 12 TNBC),297
