drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
naftifine,1.0726352,0.040213656,1.000879,22,Breast (including 12 TNBC),1003
riluzole,1.0728147,0.040224843,1.0008929,22,Breast (including 12 TNBC),1004
PRT062607,1.0743833,0.04022632,1.0023851,22,Breast (including 12 TNBC),1005
amonafide,1.0745755,0.040228516,1.0023048,22,Breast (including 12 TNBC),1006
AST-1306,1.0749387,0.040234882,1.0027604,22,Breast (including 12 TNBC),1007
propranolol,1.0749958,0.04023988,1.0025784,22,Breast (including 12 TNBC),1008
erteberel,1.0750912,0.040234078,1.0029895,22,Breast (including 12 TNBC),1009
WZ-3146,1.0751188,0.04022663,1.0029788,22,Breast (including 12 TNBC),1010
zolmitriptan,1.075143,0.040231247,1.0031971,22,Breast (including 12 TNBC),1011
SKF-96365,1.0752497,0.040232833,1.0032561,22,Breast (including 12 TNBC),1012
ER-27319,1.0756639,0.040232528,1.003609,22,Breast (including 12 TNBC),1013
phenazone,1.0757083,0.040231705,1.0037258,22,Breast (including 12 TNBC),1014
tiagabine,1.0758969,0.040231824,1.0039294,22,Breast (including 12 TNBC),1015
D-4476,1.0759711,0.04022844,1.0039613,22,Breast (including 12 TNBC),1016
GSK429286A,1.0760108,0.040233057,1.0039191,22,Breast (including 12 TNBC),1017
naproxen,1.0760884,0.040233575,1.0039771,22,Breast (including 12 TNBC),1018
clocortolone-pivalate,1.076287,0.040230226,1.0043263,22,Breast (including 12 TNBC),1019
YO-01027,1.0764316,0.040243335,1.0040426,22,Breast (including 12 TNBC),1020
propoxycaine,1.076756,0.040241495,1.0043252,22,Breast (including 12 TNBC),1021
lerisetron,1.0772532,0.040236868,1.0052832,22,Breast (including 12 TNBC),1022
tioxolone,1.0787116,0.0402352,1.0066836,22,Breast (including 12 TNBC),1023
foscarnet,1.0789177,0.0402442,1.006453,22,Breast (including 12 TNBC),1024
CMPD-1,1.0791274,0.040242657,1.0069499,22,Breast (including 12 TNBC),1025
cyproheptadine,1.0792696,0.04023996,1.0071304,22,Breast (including 12 TNBC),1026
"L-798,106",1.0808614,0.040245447,1.0085993,22,Breast (including 12 TNBC),1027
tyrphostin-AG-1296,1.0810779,0.040245343,1.0087492,22,Breast (including 12 TNBC),1028
resatorvid,1.0811497,0.040245935,1.0088661,22,Breast (including 12 TNBC),1029
SB-228357,1.0811733,0.0402491,1.0089128,22,Breast (including 12 TNBC),1030
fenaclon,1.0813588,0.040252164,1.0087502,22,Breast (including 12 TNBC),1031
combretastatin-A-4,1.0820042,0.04024902,1.0094221,22,Breast (including 12 TNBC),1032
carboplatin,1.0821677,0.040252306,1.009588,22,Breast (including 12 TNBC),1033
lovastatin,1.0824176,0.040253483,1.0100088,22,Breast (including 12 TNBC),1034
UNC0631,1.0827788,0.04024539,1.0105724,22,Breast (including 12 TNBC),1035
cyclosporin-a,1.0828428,0.040246606,1.0105832,22,Breast (including 12 TNBC),1036
EPZ-5676,1.0831,0.04024897,1.0108399,22,Breast (including 12 TNBC),1037
BMS-986020,1.0835923,0.040244877,1.011436,22,Breast (including 12 TNBC),1038
MK-0812,1.0838962,0.040250175,1.0116351,22,Breast (including 12 TNBC),1039
JTC-801,1.0843211,0.040247716,1.0121002,22,Breast (including 12 TNBC),1040
TAK-285,1.0843421,0.040249128,1.0120308,22,Breast (including 12 TNBC),1041
halobetasol-propionate,1.084462,0.040251598,1.012162,22,Breast (including 12 TNBC),1042
mibefradil,1.0851194,0.040250983,1.0129128,22,Breast (including 12 TNBC),1043
warfarin,1.085538,0.04024621,1.0134375,22,Breast (including 12 TNBC),1044
clenbuterol,1.086012,0.040248442,1.0136594,22,Breast (including 12 TNBC),1045
streptozotocin,1.0864619,0.040249296,1.0141487,22,Breast (including 12 TNBC),1046
AEG3482,1.0870075,0.040254258,1.0142503,22,Breast (including 12 TNBC),1047
bifemelane,1.0871948,0.040249866,1.0149422,22,Breast (including 12 TNBC),1048
LDN-57444,1.0889324,0.040253226,1.016211,22,Breast (including 12 TNBC),1049
CCG-50014,1.0900197,0.040248346,1.0178144,22,Breast (including 12 TNBC),1050
deferasirox,1.0907454,0.04026166,1.018173,22,Breast (including 12 TNBC),1051
obidoxime,1.0907801,0.04025337,1.0184295,22,Breast (including 12 TNBC),1052
A-803467,1.0916753,0.040255312,1.01917,22,Breast (including 12 TNBC),1053
mesoridazine,1.0917366,0.04026055,1.0191699,22,Breast (including 12 TNBC),1054
PD-198306,1.0922363,0.04025388,1.01977,22,Breast (including 12 TNBC),1055
ulipristal,1.0926973,0.040262897,1.0200422,22,Breast (including 12 TNBC),1056
telatinib,1.093202,0.040258635,1.0206242,22,Breast (including 12 TNBC),1057
acesulfame-potassium,1.0935858,0.040271495,1.0205966,22,Breast (including 12 TNBC),1058
eprobemide,1.0940154,0.04025493,1.0215752,22,Breast (including 12 TNBC),1059
tyloxapol,1.0945632,0.04025298,1.022146,22,Breast (including 12 TNBC),1060
TU-2100,1.0945907,0.04027286,1.0215456,22,Breast (including 12 TNBC),1061
CH5132799,1.0946753,0.040253945,1.0221193,22,Breast (including 12 TNBC),1062
gestrinone,1.0948609,0.040263277,1.0222034,22,Breast (including 12 TNBC),1063
bindarit,1.0953286,0.04026822,1.0226407,22,Breast (including 12 TNBC),1064
S-methylcysteine,1.0956413,0.04025511,1.0231066,22,Breast (including 12 TNBC),1065
salvinorin-a,1.0958829,0.040269997,1.023016,22,Breast (including 12 TNBC),1066
kifunensine,1.0959471,0.040263936,1.0234494,22,Breast (including 12 TNBC),1067
methscopolamine,1.0959727,0.04026827,1.0231681,22,Breast (including 12 TNBC),1068
FK-3311,1.0973046,0.040257,1.0247571,22,Breast (including 12 TNBC),1069
TWS-119,1.0973296,0.040263377,1.0246811,22,Breast (including 12 TNBC),1070
LCL-161,1.0974476,0.04025551,1.0248955,22,Breast (including 12 TNBC),1071
torasemide,1.0978556,0.04027203,1.0251892,22,Breast (including 12 TNBC),1072
mercaptopurine,1.0980653,0.040258534,1.0254838,22,Breast (including 12 TNBC),1073
tagatose,1.0984899,0.040266197,1.0259011,22,Breast (including 12 TNBC),1074
PP-2,1.0986245,0.04025775,1.0260098,22,Breast (including 12 TNBC),1075
doxercalciferol,1.098859,0.040263955,1.0261514,22,Breast (including 12 TNBC),1076
BMS-690514,1.0989047,0.04026327,1.0261395,22,Breast (including 12 TNBC),1077
domperidone,1.1001472,0.040277578,1.027189,22,Breast (including 12 TNBC),1078
forskolin,1.1001711,0.040269017,1.0273991,22,Breast (including 12 TNBC),1079
PHA-680632,1.1005936,0.040259905,1.0278592,22,Breast (including 12 TNBC),1080
methyldopa,1.1009711,0.040275894,1.0280778,22,Breast (including 12 TNBC),1081
SIB-1757,1.1009834,0.040280007,1.0280647,22,Breast (including 12 TNBC),1082
TG-02,1.1010805,0.040259715,1.0283618,22,Breast (including 12 TNBC),1083
hyodeoxycholic-acid,1.1013441,0.04028262,1.0280907,22,Breast (including 12 TNBC),1084
NVP-BHG712,1.1013614,0.040258292,1.0287294,22,Breast (including 12 TNBC),1085
fendiline,1.1021409,0.040281337,1.0292325,22,Breast (including 12 TNBC),1086
DPI-201106,1.1021862,0.040264368,1.0294684,22,Breast (including 12 TNBC),1087
betamethasone,1.1022949,0.040272474,1.0294735,22,Breast (including 12 TNBC),1088
triamcinolone,1.1030972,0.0402786,1.0302155,22,Breast (including 12 TNBC),1089
clofazimine,1.1031045,0.040284578,1.0298035,22,Breast (including 12 TNBC),1090
JQ1-(+),1.1034524,0.040259838,1.0308299,22,Breast (including 12 TNBC),1091
AV-412,1.1034762,0.04026888,1.0306375,22,Breast (including 12 TNBC),1092
metyrapone,1.1037898,0.04027793,1.0309267,22,Breast (including 12 TNBC),1093
bromosporine,1.1044872,0.040288564,1.031131,22,Breast (including 12 TNBC),1094
8-hydroxy-PIPAT,1.1046418,0.040278744,1.031636,22,Breast (including 12 TNBC),1095
PF-4981517,1.1052407,0.040283196,1.0322542,22,Breast (including 12 TNBC),1096
clobetasol-propionate,1.1066613,0.04028223,1.0336168,22,Breast (including 12 TNBC),1097
FR-122047,1.1066775,0.040277284,1.0333874,22,Breast (including 12 TNBC),1098
lorazepam,1.1076053,0.04028201,1.0345945,22,Breast (including 12 TNBC),1099
ramatroban,1.1089073,0.040287457,1.0357835,22,Breast (including 12 TNBC),1100
M-344,1.109069,0.04029776,1.0355048,22,Breast (including 12 TNBC),1101
tiludronate,1.1095716,0.0402813,1.0365584,22,Breast (including 12 TNBC),1102
tirapazamine,1.1097751,0.040298726,1.0361995,22,Breast (including 12 TNBC),1103
KI-16425,1.1100861,0.040280696,1.0371444,22,Breast (including 12 TNBC),1104
SB-225002,1.1102484,0.040288404,1.036972,22,Breast (including 12 TNBC),1105
chlorindanol,1.110392,0.04030033,1.0367757,22,Breast (including 12 TNBC),1106
RKI-1447,1.1108018,0.040285405,1.037723,22,Breast (including 12 TNBC),1107
AT7867,1.1109794,0.04027918,1.037916,22,Breast (including 12 TNBC),1108
CCMI,1.111186,0.040284876,1.0380511,22,Breast (including 12 TNBC),1109
tropisetron,1.1118362,0.040291153,1.0385964,22,Breast (including 12 TNBC),1110
piretanide,1.1124467,0.04029147,1.0392945,22,Breast (including 12 TNBC),1111
SID-7969543,1.1125499,0.040293965,1.0393045,22,Breast (including 12 TNBC),1112
ambazone,1.1126844,0.04030148,1.0390346,22,Breast (including 12 TNBC),1113
Ro-10-5824,1.1129031,0.040293448,1.0396693,22,Breast (including 12 TNBC),1114
CS-110266,1.1135164,0.040293217,1.0401386,22,Breast (including 12 TNBC),1115
nobiletin,1.1137643,0.040270597,1.0407498,22,Breast (including 12 TNBC),1116
RN-1734,1.1138244,0.040297586,1.0405269,22,Breast (including 12 TNBC),1117
nadide,1.115301,0.040291302,1.0421398,22,Breast (including 12 TNBC),1118
CP-673451,1.1155183,0.040293273,1.0422108,22,Breast (including 12 TNBC),1119
atorvastatin,1.1157393,0.040291786,1.0425379,22,Breast (including 12 TNBC),1120
dihydroergocristine,1.1160245,0.04030093,1.0426276,22,Breast (including 12 TNBC),1121
2'-MeCCPA,1.1164241,0.040293463,1.0431111,22,Breast (including 12 TNBC),1122
adapalene,1.1167712,0.04029491,1.0433941,22,Breast (including 12 TNBC),1123
vemurafenib,1.118834,0.040287174,1.045494,22,Breast (including 12 TNBC),1124
U-18666A,1.1189257,0.0403075,1.0450664,22,Breast (including 12 TNBC),1125
cibenzoline,1.1190336,0.040312152,1.0451452,22,Breast (including 12 TNBC),1126
selamectin,1.1191494,0.040311947,1.0453098,22,Breast (including 12 TNBC),1127
cinromide,1.1196681,0.04031352,1.0457505,22,Breast (including 12 TNBC),1128
abiraterone-acetate,1.1202178,0.040305268,1.0467589,22,Breast (including 12 TNBC),1129
halofantrine,1.1208235,0.040297803,1.0474305,22,Breast (including 12 TNBC),1130
methocarbamol,1.1211143,0.040304296,1.0477104,22,Breast (including 12 TNBC),1131
bicalutamide,1.1212666,0.04030707,1.0477028,22,Breast (including 12 TNBC),1132
danazol,1.1216193,0.040306795,1.0480713,22,Breast (including 12 TNBC),1133
clopamide,1.122128,0.04031563,1.0481039,22,Breast (including 12 TNBC),1134
sulfasalazine,1.1221722,0.040304042,1.0486958,22,Breast (including 12 TNBC),1135
enoximone,1.1222148,0.04031015,1.0484822,22,Breast (including 12 TNBC),1136
lurasidone,1.1228303,0.040308274,1.0491998,22,Breast (including 12 TNBC),1137
KF-38789,1.123767,0.04030873,1.0501127,22,Breast (including 12 TNBC),1138
isoxsuprine,1.1241317,0.040306814,1.0505846,22,Breast (including 12 TNBC),1139
WHI-P154,1.124697,0.040306397,1.051097,22,Breast (including 12 TNBC),1140
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,1.1249447,0.040311035,1.0511632,22,Breast (including 12 TNBC),1141
forodesine,1.1264118,0.040307518,1.0528231,22,Breast (including 12 TNBC),1142
astemizole,1.1264485,0.04031068,1.0526843,22,Breast (including 12 TNBC),1143
Y-27632,1.1265838,0.04030194,1.0530629,22,Breast (including 12 TNBC),1144
amoxicillin,1.1266514,0.040310323,1.0529083,22,Breast (including 12 TNBC),1145
PI-103,1.126919,0.040298376,1.0533957,22,Breast (including 12 TNBC),1146
OSI-930,1.1271966,0.040310748,1.0534286,22,Breast (including 12 TNBC),1147
LY456236,1.1277099,0.04031271,1.0538377,22,Breast (including 12 TNBC),1148
raloxifene,1.1280812,0.040309172,1.0544012,22,Breast (including 12 TNBC),1149
diphemanil,1.1286079,0.040311094,1.0548234,22,Breast (including 12 TNBC),1150
R306465,1.1287144,0.04031962,1.0544884,22,Breast (including 12 TNBC),1151
PPT,1.1289918,0.04031178,1.0551696,22,Breast (including 12 TNBC),1152
nithiamide,1.1291369,0.040319692,1.0549088,22,Breast (including 12 TNBC),1153
iobenguane,1.1299391,0.040320385,1.0556767,22,Breast (including 12 TNBC),1154
minocycline,1.1304108,0.040310323,1.0566676,22,Breast (including 12 TNBC),1155
azomycin-(2-nitroimidazole),1.13059,0.040320754,1.0563102,22,Breast (including 12 TNBC),1156
VX-765,1.1306802,0.04031015,1.0569468,22,Breast (including 12 TNBC),1157
SC-12267,1.1313341,0.040313914,1.0573986,22,Breast (including 12 TNBC),1158
amisulpride,1.1315448,0.04031478,1.0575647,22,Breast (including 12 TNBC),1159
riociguat,1.1315999,0.04031144,1.0577948,22,Breast (including 12 TNBC),1160
4-pyrimidinecarbonitrile,1.1319863,0.040321644,1.0576618,22,Breast (including 12 TNBC),1161
GSK-J4,1.1320577,0.04031127,1.058264,22,Breast (including 12 TNBC),1162
ICG-001,1.1326092,0.040312275,1.0587609,22,Breast (including 12 TNBC),1163
tandutinib,1.1329656,0.04031309,1.0590742,22,Breast (including 12 TNBC),1164
lomitapide,1.1332608,0.04031497,1.0592701,22,Breast (including 12 TNBC),1165
pibenzimol,1.1336592,0.04032299,1.0592704,22,Breast (including 12 TNBC),1166
nizatidine,1.1339984,0.040313426,1.0600896,22,Breast (including 12 TNBC),1167
ritodrine,1.1341981,0.04030502,1.0604566,22,Breast (including 12 TNBC),1168
altretamine,1.1355989,0.040324327,1.0611463,22,Breast (including 12 TNBC),1169
latanoprost,1.136444,0.04031654,1.0623727,22,Breast (including 12 TNBC),1170
artesunate,1.1376584,0.04032599,1.0631278,22,Breast (including 12 TNBC),1171
temozolomide,1.1383208,0.040315446,1.0643058,22,Breast (including 12 TNBC),1172
quizartinib,1.1385196,0.04031828,1.064362,22,Breast (including 12 TNBC),1173
mephenytoin,1.1387783,0.04031796,1.0646355,22,Breast (including 12 TNBC),1174
baicalein,1.1390519,0.040317096,1.0649529,22,Breast (including 12 TNBC),1175
ADL5859,1.1392735,0.040318932,1.0650833,22,Breast (including 12 TNBC),1176
kenpaullone,1.1397815,0.040311135,1.0658956,22,Breast (including 12 TNBC),1177
nitisinone,1.1398377,0.04032059,1.0655663,22,Breast (including 12 TNBC),1178
gidazepam,1.1399735,0.040328197,1.0653398,22,Breast (including 12 TNBC),1179
racecadotril,1.1399821,0.04031528,1.0659771,22,Breast (including 12 TNBC),1180
etomoxir,1.1400943,0.040317696,1.065965,22,Breast (including 12 TNBC),1181
pindolol,1.1405559,0.04031953,1.066334,22,Breast (including 12 TNBC),1182
pentostatin,1.141726,0.04031824,1.0675704,22,Breast (including 12 TNBC),1183
AZ3146,1.1417683,0.04032774,1.0671564,22,Breast (including 12 TNBC),1184
norethindrone,1.1418025,0.040321454,1.0674872,22,Breast (including 12 TNBC),1185
SB-205384,1.1418561,0.04031933,1.0676453,22,Breast (including 12 TNBC),1186
thioproperazine,1.1425735,0.040321738,1.068244,22,Breast (including 12 TNBC),1187
BNC105,1.1438451,0.040330134,1.0691242,22,Breast (including 12 TNBC),1188
tacalcitol,1.1447543,0.04032139,1.0704432,22,Breast (including 12 TNBC),1189
BW-180C,1.1447656,0.040323053,1.070375,22,Breast (including 12 TNBC),1190
fluoromethylcholine,1.1462575,0.0403326,1.0714266,22,Breast (including 12 TNBC),1191
rimexolone,1.1465126,0.040322274,1.0721586,22,Breast (including 12 TNBC),1192
ftorafur,1.1473716,0.040311653,1.0732956,22,Breast (including 12 TNBC),1193
4-hydroxy-phenazone,1.1474252,0.040333603,1.0725498,22,Breast (including 12 TNBC),1194
VU0361737,1.147703,0.040322945,1.0733156,22,Breast (including 12 TNBC),1195
benzydamine,1.1479716,0.04033382,1.0730875,22,Breast (including 12 TNBC),1196
nitrocaramiphen,1.1480247,0.0403308,1.0732734,22,Breast (including 12 TNBC),1197
GS-9973,1.1480362,0.04032057,1.0737655,22,Breast (including 12 TNBC),1198
costunolide,1.1484517,0.04033373,1.0735703,22,Breast (including 12 TNBC),1199
piperacetazine,1.149755,0.04033445,1.0748432,22,Breast (including 12 TNBC),1200
filgotinib,1.1502148,0.040326323,1.0756688,22,Breast (including 12 TNBC),1201
tetrahydropapaverine,1.1510335,0.040335476,1.076076,22,Breast (including 12 TNBC),1202
niacin,1.1510392,0.040324487,1.0765787,22,Breast (including 12 TNBC),1203
salvianolic-acid-B,1.1513903,0.04032412,1.0769479,22,Breast (including 12 TNBC),1204
nefiracetam,1.1514813,0.04033274,1.076644,22,Breast (including 12 TNBC),1205
ramifenazone,1.1515527,0.04033516,1.0766094,22,Breast (including 12 TNBC),1206
repaglinide,1.1515961,0.04032764,1.0769885,22,Breast (including 12 TNBC),1207
BF2.649,1.1518912,0.040325373,1.07739,22,Breast (including 12 TNBC),1208
GSK2656157,1.1527588,0.04033745,1.0777168,22,Breast (including 12 TNBC),1209
Ro-04-5595,1.1535743,0.04032932,1.0788908,22,Breast (including 12 TNBC),1210
ethinyl-estradiol,1.1539274,0.04033016,1.0792061,22,Breast (including 12 TNBC),1211
finafloxacin,1.1540253,0.040336702,1.0789723,22,Breast (including 12 TNBC),1212
desoxycortone,1.1548748,0.040330026,1.0801597,22,Breast (including 12 TNBC),1213
LY2608204,1.1552502,0.04033138,1.080472,22,Breast (including 12 TNBC),1214
KP-1212,1.1555251,0.04033387,1.0806389,22,Breast (including 12 TNBC),1215
GW-788388,1.1559703,0.04032983,1.0812628,22,Breast (including 12 TNBC),1216
isoflupredone-acetate,1.1562122,0.0403298,1.081507,22,Breast (including 12 TNBC),1217
YM-155,1.1571056,0.04032733,1.0825119,22,Breast (including 12 TNBC),1218
ilomastat,1.1574901,0.040330835,1.0827382,22,Breast (including 12 TNBC),1219
triamcinolone-acetonide,1.159671,0.040330302,1.0849414,22,Breast (including 12 TNBC),1220
aminoglutethimide,1.1597097,0.040332705,1.084873,22,Breast (including 12 TNBC),1221
ZM-306416,1.1597232,0.040333286,1.0848618,22,Breast (including 12 TNBC),1222
CI-844,1.1605422,0.0403256,1.0854998,22,Breast (including 12 TNBC),1223
fluroxene,1.1607661,0.04031961,1.0857282,22,Breast (including 12 TNBC),1224
IEM1754,1.1616523,0.040336587,1.0866475,22,Breast (including 12 TNBC),1225
nintedanib,1.162042,0.04033469,1.0871189,22,Breast (including 12 TNBC),1226
afobazole,1.1621202,0.040320117,1.0870819,22,Breast (including 12 TNBC),1227
palomid-529,1.1622219,0.04033307,1.0873693,22,Breast (including 12 TNBC),1228
NH125,1.1626782,0.04031686,1.0876421,22,Breast (including 12 TNBC),1229
mexeneone,1.1626812,0.040316246,1.0876455,22,Breast (including 12 TNBC),1230
usniacin-(+),1.1632861,0.04033378,1.0884017,22,Breast (including 12 TNBC),1231
tezacaftor,1.163342,0.040313438,1.0883086,22,Breast (including 12 TNBC),1232
nicorandil,1.1638333,0.04033398,1.088784,22,Breast (including 12 TNBC),1233
lafutidine,1.163869,0.04033768,1.0888169,22,Breast (including 12 TNBC),1234
nexturastat-a,1.1647763,0.04033491,1.089844,22,Breast (including 12 TNBC),1235
UNBS-5162,1.1651081,0.040308286,1.0900784,22,Breast (including 12 TNBC),1236
buphenine,1.1656142,0.040337708,1.0905612,22,Breast (including 12 TNBC),1237
"CP-945,598",1.1656529,0.04032702,1.0906096,22,Breast (including 12 TNBC),1238
4-chlorophenylguanidine,1.1660054,0.040336523,1.0910034,22,Breast (including 12 TNBC),1239
thiocolchicoside,1.1667185,0.04033116,1.0916722,22,Breast (including 12 TNBC),1240
erythritol,1.1669277,0.04030755,1.0918983,22,Breast (including 12 TNBC),1241
AZD5438,1.1672843,0.040337097,1.092258,22,Breast (including 12 TNBC),1242
nadifloxacin,1.1677105,0.040301256,1.0926857,22,Breast (including 12 TNBC),1243
ZK-93426,1.1677525,0.040334623,1.0927024,22,Breast (including 12 TNBC),1244
diazooxonorleucine,1.1678329,0.04030256,1.092807,22,Breast (including 12 TNBC),1245
prednisolone-hemisuccinate,1.1682458,0.040330812,1.0931997,22,Breast (including 12 TNBC),1246
clofibrate,1.1682488,0.04033501,1.0931981,22,Breast (including 12 TNBC),1247
iododexetimide,1.168338,0.040299468,1.0933144,22,Breast (including 12 TNBC),1248
picolinic-acid,1.16965,0.040296897,1.0946281,22,Breast (including 12 TNBC),1249
exemestane,1.1698345,0.04032362,1.0947936,22,Breast (including 12 TNBC),1250
clofoctol,1.1712264,0.040293735,1.0962069,22,Breast (including 12 TNBC),1251
norgestrel,1.1721288,0.040314097,1.0970948,22,Breast (including 12 TNBC),1252
Ro-106-9920,1.1722478,0.040291317,1.09723,22,Breast (including 12 TNBC),1253
ifosfamide,1.1730847,0.04031749,1.0980482,22,Breast (including 12 TNBC),1254
tamoxifen,1.1732987,0.040321257,1.0982596,22,Breast (including 12 TNBC),1255
flutamide,1.1736245,0.040316593,1.0985887,22,Breast (including 12 TNBC),1256
nizofenone,1.1741964,0.040287677,1.0991812,22,Breast (including 12 TNBC),1257
estradiol-benzoate,1.1746801,0.04031304,1.0996467,22,Breast (including 12 TNBC),1258
CL-218872,1.1748201,0.04031426,1.0997858,22,Breast (including 12 TNBC),1259
nutlin-3,1.1756473,0.04032021,1.1006088,22,Breast (including 12 TNBC),1260
felbamate,1.1757268,0.04031121,1.1006949,22,Breast (including 12 TNBC),1261
estradiol,1.1777709,0.040304456,1.1027436,22,Breast (including 12 TNBC),1262
blebbistatin-(-),1.1777844,0.040277302,1.1027768,22,Breast (including 12 TNBC),1263
josamycin,1.1789953,0.040275693,1.1039886,22,Breast (including 12 TNBC),1264
STA-5326,1.1792336,0.04031664,1.1041975,22,Breast (including 12 TNBC),1265
tecastemizole,1.1795678,0.04030047,1.1045434,22,Breast (including 12 TNBC),1266
nicotine,1.1799232,0.040299762,1.1048992,22,Breast (including 12 TNBC),1267
clebopride,1.1800388,0.0402971,1.105017,22,Breast (including 12 TNBC),1268
chromocarb,1.1802888,0.040272385,1.1052845,22,Breast (including 12 TNBC),1269
flumatinib,1.1804699,0.04030239,1.1054442,22,Breast (including 12 TNBC),1270
melengestrol-acetate,1.1810122,0.040272295,1.1060083,22,Breast (including 12 TNBC),1271
prednisolone,1.1810317,0.040292967,1.1060128,22,Breast (including 12 TNBC),1272
stemregenin-1,1.1817065,0.04029901,1.1066833,22,Breast (including 12 TNBC),1273
chloramphenicol-palmitate,1.1821421,0.040268898,1.1071405,22,Breast (including 12 TNBC),1274
bephenium-hydroxynaphthoate,1.1821494,0.04026917,1.1071476,22,Breast (including 12 TNBC),1275
piroxicam,1.1830981,0.0403015,1.108073,22,Breast (including 12 TNBC),1276
GW-405833,1.1833509,0.040288042,1.1083355,22,Breast (including 12 TNBC),1277
diaveridine,1.1837243,0.040265303,1.1087251,22,Breast (including 12 TNBC),1278
AZD8931,1.1840855,0.040295184,1.109065,22,Breast (including 12 TNBC),1279
"hydroxytacrine-maleate-(r,s)",1.185465,0.040284347,1.1104522,22,Breast (including 12 TNBC),1280
alogliptin,1.1869022,0.04027985,1.1118927,22,Breast (including 12 TNBC),1281
mepivacaine,1.187019,0.040276986,1.1120117,22,Breast (including 12 TNBC),1282
estramustine-phosphate,1.1883887,0.040277537,1.1133809,22,Breast (including 12 TNBC),1283
mericitabine,1.1889797,0.040252063,1.1139905,22,Breast (including 12 TNBC),1284
bekanamycin,1.1893725,0.04025343,1.1143821,22,Breast (including 12 TNBC),1285
nisoxetine,1.1916054,0.040267218,1.116605,22,Breast (including 12 TNBC),1286
venetoclax,1.1916159,0.040265415,1.116617,22,Breast (including 12 TNBC),1287
PD-173074,1.1918387,0.040266577,1.1168387,22,Breast (including 12 TNBC),1288
hydrocortisone,1.1922368,0.040243965,1.1172533,22,Breast (including 12 TNBC),1289
linalool,1.192244,0.04024578,1.117259,22,Breast (including 12 TNBC),1290
fulvestrant,1.1926129,0.0402693,1.1176109,22,Breast (including 12 TNBC),1291
meloxicam,1.1927356,0.04026836,1.1177342,22,Breast (including 12 TNBC),1292
oxymetazoline,1.193197,0.040261734,1.1182007,22,Breast (including 12 TNBC),1293
LY2183240,1.1937838,0.040267564,1.118783,22,Breast (including 12 TNBC),1294
dimethisoquin,1.1943723,0.0402427,1.1193897,22,Breast (including 12 TNBC),1295
camylofine-chlorhydrate,1.1946102,0.04023976,1.1196299,22,Breast (including 12 TNBC),1296
cefpiramide,1.1957188,0.04023876,1.1207392,22,Breast (including 12 TNBC),1297
nilutamide,1.1957706,0.040254135,1.1207796,22,Breast (including 12 TNBC),1298
uridine,1.1976578,0.040266227,1.1226583,22,Breast (including 12 TNBC),1299
capsaicin,1.1977693,0.040253248,1.1227789,22,Breast (including 12 TNBC),1300
fenofibrate,1.2014257,0.04024773,1.1264396,22,Breast (including 12 TNBC),1301
benzocaine,1.2029148,0.040240187,1.127934,22,Breast (including 12 TNBC),1302
acetylcysteine,1.2029259,0.040253375,1.1279356,22,Breast (including 12 TNBC),1303
sevelamer,1.2032642,0.04022369,1.1282954,22,Breast (including 12 TNBC),1304
nomegestrol-acetate,1.2033516,0.0402357,1.1283743,22,Breast (including 12 TNBC),1305
skepinone-l,1.2044269,0.04024101,1.1294456,22,Breast (including 12 TNBC),1306
tetrahydrouridine,1.2048484,0.04024704,1.1298627,22,Breast (including 12 TNBC),1307
caffeic-acid,1.205141,0.040243473,1.130158,22,Breast (including 12 TNBC),1308
flufenamic-acid,1.20531,0.040243484,1.130327,22,Breast (including 12 TNBC),1309
7-aminocephalosporanic-acid,1.2053913,0.040219255,1.1304259,22,Breast (including 12 TNBC),1310
maprotiline,1.2054155,0.040230647,1.1304417,22,Breast (including 12 TNBC),1311
BIX-02188,1.2058853,0.040242944,1.1309025,22,Breast (including 12 TNBC),1312
FK-888,1.2059588,0.04023152,1.1309843,22,Breast (including 12 TNBC),1313
naltrexone,1.205996,0.040230688,1.131022,22,Breast (including 12 TNBC),1314
SB-657510,1.2062253,0.040231157,1.1312511,22,Breast (including 12 TNBC),1315
CPP,1.206667,0.040236205,1.1316893,22,Breast (including 12 TNBC),1316
4-iodo-6-phenylpyrimidine,1.2090063,0.04025132,1.1340175,22,Breast (including 12 TNBC),1317
azodicarbonamide,1.210439,0.040209565,1.1354808,22,Breast (including 12 TNBC),1318
bumetanide,1.2108436,0.040227417,1.1358721,22,Breast (including 12 TNBC),1319
NAN-190,1.211011,0.040222734,1.1360431,22,Breast (including 12 TNBC),1320
carmustine,1.2117132,0.040227257,1.1367419,22,Breast (including 12 TNBC),1321
ornithine,1.2132137,0.04023246,1.1382387,22,Breast (including 12 TNBC),1322
famotidine,1.21382,0.040219285,1.1388545,22,Breast (including 12 TNBC),1323
OLDA,1.2138886,0.040227838,1.138917,22,Breast (including 12 TNBC),1324
pyritinol,1.214275,0.04019986,1.139324,22,Breast (including 12 TNBC),1325
guanidine,1.2153995,0.040214323,1.1404376,22,Breast (including 12 TNBC),1326
formestane,1.2155653,0.040217105,1.1406014,22,Breast (including 12 TNBC),1327
famciclovir,1.2165958,0.040196687,1.141647,22,Breast (including 12 TNBC),1328
se-methylselenocysteine,1.216704,0.040194776,1.1417565,22,Breast (including 12 TNBC),1329
