drug,n_samples,pearson_r,spearman_r,rmse
azd9668,90,0.1040376546852135,0.16187183602913938,0.23087392653164984
azilsartan,85,0.1204413423505691,3.908540160250147e-05,0.12062202598142131
azithromycin,85,0.09192293678064267,0.09239788938831346,0.10347573346476613
azodicarbonamide,90,0.11853283462140252,0.11058978474708811,0.21200853107892262
azomycin-(2-nitroimidazole),87,0.16270352869652752,0.19953342567616822,0.17325503208424237
aztreonam,86,0.1290756563771882,0.12624180385867256,0.1673261056365608
bafetinib,92,0.2941010794068564,0.3180648243761848,0.1238710725221696
baicalein,89,0.29497912165131257,0.27732379979571,0.20625384063465443
baicalin,84,-0.0007937813661739658,-0.011562273778996887,0.17875683526066463
balapiravir,90,-0.061908757990068716,-0.09783100794336749,0.22813131333783637
bam7,87,0.0674495763838761,0.042429102573449,0.33091137465412207
ban-orl-24,79,0.23395369070179786,0.19883154819863683,0.19575312703323966
barasertib,88,0.29365468901508207,0.13200401480810398,0.0922976051115374
barasertib-hqpa,91,0.23577143530722125,0.2480490523968785,0.2001220490389302
bardoxolone,56,0.1396805486925312,0.12153110047846892,0.1524964792431572
bardoxolone-methyl,90,0.2229946197282437,0.18466553346468076,0.08649145694933506
baricitinib,90,0.0018894837902206445,0.010758529859653454,0.22275554949683524
batimastat,93,0.06702366850580012,0.07461444821300771,0.0838449657274596
bay-11-7082,87,0.06096224993729439,0.09508274404024203,0.04275945132494626
bay-11-7085,91,-0.02487721788771456,-0.005924510272336359,0.1831813108835483
bay-87-2243,93,0.051261907780017296,0.08367401748679536,0.19727619804726357
bay-k-8644-(s)-(-),80,0.010072097810509037,0.009587435536802627,0.1834636539315191
beclomethasone-dipropionate,85,-0.05371584710498374,-0.030076216533124877,0.28369840351476144
bekanamycin,86,0.10348934006804048,0.1812255295061088,0.2415393917196132
belinostat,86,0.029781909033051147,0.016075553251208536,0.09577846185100654
bendamustine,90,0.013148558263568071,0.0736798781742602,0.19316520842034682
bendroflumethiazide,80,-0.03209715249347485,-0.10285982184716362,0.2168464881357953
benfotiamine,80,-0.07440416535798487,0.05173464603844351,0.21914063689033614
bentazepam,85,0.09705339860570383,0.016513582177056868,0.09825350635342935
benzethonium,75,0.35744294295588364,0.34651493598862015,0.16129770714671357
benzocaine,58,-0.078306011881755,-0.09581961918238027,0.20133716333407453
benzydamine,87,0.22122662473255353,0.24427717430925128,0.2620345677275827
benzyldimethylhexadecylammonium,89,0.10045508448568552,0.11639427987742598,0.15449697302457616
bephenium-hydroxynaphthoate,81,-0.07534304200397186,-0.03407859078590786,0.19287739001721632
berberine,94,0.11168757332612671,0.1826174908788787,0.09149735874986738
beta-lapachone,94,0.2938888925190293,0.323541523678792,0.04837157997647269
beta-naphthol,81,0.2829982461919605,0.27922312556458895,0.18316724765691358
betamethasone,80,0.22432598273122903,0.2607829348335678,0.23600315735715555
betamethasone-dipropionate,90,0.1837693185803724,0.18962834917891097,0.2801091158293533
betulinic-acid,73,-0.03436413756395691,-0.034462544736517345,0.16491454212750523
bexarotene,86,0.27025549826076917,0.20979696594796066,0.0674642028631549
bf2.649,90,0.17153715996871582,0.09389636580647816,0.3263050393100976
bgt226,89,0.19478550716528728,0.17505958461014645,0.07888881344670047
bi-2536,93,0.4461578698053746,0.42398018561069495,0.15443021027645007
bi-78d3,89,0.06914332994893738,0.04400749063670413,0.05849744843973971
bi-d1870,88,0.0870456800209154,0.06294248177239267,0.25839296020288427
bibr-1532,95,0.11380524083158075,0.14069148936170212,0.16838484379315466
bibu-1361,93,0.3484284401896661,0.41389394527170176,0.21563851589484087
bibx-1382,89,0.20480113682818338,0.2933946203609125,0.19939098582082287
bicalutamide,77,-0.11023010714921382,-0.02639465797360534,0.1757297995515278
bifemelane,90,0.04505334512016695,-0.005358686257562662,0.17699010850294503
biib021,89,0.26004860127986285,0.28247744961286414,0.1175318436553206
bindarit,77,-0.05452014222388283,-0.07405752142594246,0.18400526747507576
birinapant,92,0.2766350720166997,0.3476873757378666,0.26960830591523716
bis(maltolato)oxovanadium(iv),91,0.5382315121772112,0.5415989807294156,0.13474038226330223
bisacodyl,82,0.16178827063294446,0.17752310053221013,0.15909572235875136
bisindolylmaleimide-ix,95,0.05953814501985408,0.11835106382978722,0.05458520945999519
bitopertin,91,0.15857121423096246,0.04027711419015767,0.13059233638600345
bix-01294,95,0.2775459905591903,0.3909154535274356,0.05978536862702552
bix-02188,93,0.0267497463128957,0.13394109396914444,0.12783107890017417
