tf,HR,pvalue,coef,n
TRERF1,0.7181011125330697,1.5471029444914294e-11,-0.3311448945938864,7397
SALL4,0.5885410764506475,1.629906882954741e-11,-0.5301085561608614,7397
ELK3,1.6575530683074609,2.0615442181115158e-11,0.5053424596437526,7397
DLX4,0.707102751043402,2.082837688895456e-11,-0.34657928977930935,7397
AIP,1.1899736131534044,2.1071123330303445e-11,0.17393113305692665,7397
MYCN,1.3828753430425125,2.2881480185839758e-11,0.3241649134376364,7397
MLXIP,0.6212038406972573,2.497744144388781e-11,-0.4760960050202509,7397
SMARCA1,1.5329565430364376,2.8202163099880212e-11,0.4271982518273641,7397
E2F4,1.2039484495775319,3.0793253422932667e-11,0.18560653000449465,7397
ZNF382,1.4240280818850322,5.910034493827165e-11,0.3534895332202211,7397
NCOA2,0.6831911633357879,7.007147540692238e-11,-0.3809805708189016,7397
E2F3,1.2617271464256326,9.771542826891632e-11,0.23248153347315537,7397
ZBTB7B,0.7134974069366493,9.922628100756398e-11,-0.337576476358256,7397
HES6,1.770527755418699,1.1073003357622923e-10,0.5712776690460405,7397
ID4,0.7085135764549846,1.4313201225532375e-10,-0.3445860577837822,7397
ZBED1,0.6103303586155209,1.4896797077054287e-10,-0.49375489691084545,7397
PATZ1,0.6841642308257572,1.4930117492177335e-10,-0.37955728663340127,7397
HOXB4,0.6363888234800575,1.5332596942304642e-10,-0.45194554477193893,7397
TGFB1I1,0.7535483120798379,1.7314107475748676e-10,-0.2829621460767099,7397
POU3F1,1.5526515418400109,1.8158348756285291e-10,0.4399641415529555,7397
ESRRB,0.573712845641062,1.9209866864890388e-10,-0.555626276756826,7397
HOXC8,1.5269387983192642,2.0030731273856005e-10,0.4232649457471433,7397
TRIM28,0.5190456223327982,2.487495318315261e-10,-0.6557634953774892,7397
PAX5,0.725838822556535,2.5637449004152386e-10,-0.32042729630253924,7397
NR1D1,0.609311902755323,2.6982926226840345e-10,-0.4954249867874889,7397
HOXA2,0.5995830310633405,2.846805591443659e-10,-0.5115208135822101,7397
MEF2B,0.6520645426832266,3.0607085476396e-10,-0.427611730109414,7397
NPAS4,2.815769297375278,3.216400817823113e-10,1.0352355092917231,7397
KDM5A,1.5263361084785705,3.960564409210182e-10,0.42287016318290094,7397
ESR2,0.8024241985756467,7.026544494114426e-10,-0.2201178850428275,7397
NRG1,0.6513386690968352,7.143511216764854e-10,-0.42872554301837856,7397
CLOCK,0.7320966308548774,7.256215905186184e-10,-0.3118427643687083,7397
ZBTB7A,0.6612961854832295,7.57818884426394e-10,-0.4135534525273966,7397
SMAD5,0.6975385017558046,8.135064409830964e-10,-0.36019756716016194,7397
NKX6-2,0.6727064235625926,8.600547660500851e-10,-0.39644626507006,7397
ZEB2,1.3391609506472852,9.679710764927366e-10,0.2920432616117654,7397
BCL11A,0.6409326085113788,9.680231231497013e-10,-0.4448309625161771,7397
PURA,0.729866680480457,9.817253115410235e-10,-0.3148933909973203,7397
TFDP3,0.5841276578250564,1.1672144894251226e-09,-0.5376357278755041,7397
STAT5A,0.8392091047850917,1.5470255309691328e-09,-0.17529537259630618,7397
TADA2A,2.300863605130563,1.5757397653798327e-09,0.8332845329514943,7397
LHX8,0.6805656840144352,1.6169480649826156e-09,-0.3848309383827182,7397
MYBL1,0.6662234671228258,1.712599142726444e-09,-0.4061301285009775,7397
RELB,0.8105445725044509,2.1025812970196265e-09,-0.21004894548205172,7397
TP73,0.7761669493050886,2.2120632281073004e-09,-0.25338764108132084,7397
TFDP2,1.541555516045349,2.2659979567019e-09,0.43279198199680047,7397
HEY2,0.6214703410403288,2.3002982105219862e-09,-0.47566709074638297,7397
FEZF1,2.087282304352374,2.3978189177825e-09,0.7358628869645993,7397
TBX15,0.611294745652182,2.664527568051406e-09,-0.4921760373513501,7397
HR,1.2548287651879877,2.849157712218841e-09,0.22699912119339494,7397
TEAD1,1.571124647859779,2.899525659067754e-09,0.4517916991303094,7397
SRSF2,1.4049114382156471,3.5931736551479075e-09,0.3399742675005554,7397
PTF1A,1.8403687368657269,3.6023532832096215e-09,0.609965952013906,7397
KMT2B,1.437713971412152,3.781539510253486e-09,0.36305433229037315,7397
KAT5,0.6245180608321087,4.997966689007365e-09,-0.4707750293669452,7397
ZNF331,0.6271412590127527,5.528209984948944e-09,-0.4665834702427173,7397
TEF,0.6704336362855139,5.679887922478263e-09,-0.3998305576159975,7397
MITF,0.8259831195894806,8.706104984256982e-09,-0.19118094200233166,7397
SHOX2,1.8130310111938361,9.069871165788817e-09,0.5950000365320176,7397
