drug,p_raw,p_residualized,raw_sig,res_sig
niacin,0.004282174647473951,0.07592896420249276,True,False
4e1rcat,0.5003837001662429,0.9460926358305726,False,False
tyloxapol,0.0314844488482589,0.0016933489990752979,True,True
cebranopadol,0.05827062523679625,0.00930360193477651,False,True
y-39983,0.25274165828278694,0.6179640166331533,False,False
clotrimazole,0.19898276124061773,0.2544636547303121,False,False
kifunensine,0.17204163793885907,0.01902573209837187,False,True
formestane,0.025750076668417075,0.2748055748252154,True,False
bekanamycin,0.00019465614157610742,0.8233567974556061,True,False
benzydamine,0.5469898723413671,0.07304217867905943,False,False
warfarin,0.3115900372238514,0.24050799634019523,False,False
benfotiamine,0.4386966966121285,0.4459994034005992,False,False
dimethisoquin,0.03463344525078399,0.03987846751587981,True,True
paliperidone,4.2261037037547725e-08,0.015700344537813344,True,True
latanoprost,0.09044487012819723,0.2674242703511278,False,False
phenelzine,0.024747836478322224,0.25462969966476695,True,False
sb-590885,0.27822924073414035,0.0003879908146452583,False,True
stemregenin-1,0.6570251590589176,0.09264379656771465,False,False
4-methylgenistein,0.6629255643226135,0.015461938270818746,False,True
