drug,HR,pvalue,padj,cohort
serdemetan,1.766294644922684,0.006797817008295211,0.07508733748857382,METABRIC
salinomycin,0.5039534420661614,0.007000321933335363,0.07613594249214067,METABRIC
thioguanine,3.976517120683202,0.007001488460267298,0.07613594249214067,METABRIC
bms-754807,1.8829619012514067,0.0070505986827552524,0.07613594249214067,METABRIC
nanchangmycin,0.31602513219455136,0.007116075835004682,0.07627379061667981,METABRIC
abt-702,1.7165877164592587,0.00726430362853572,0.07729005404772932,METABRIC
golgicide-a,2.594604608038593,0.007573487023025524,0.07999150162275863,METABRIC
sulfamethazine,1.7353027065979454,0.008107284979679477,0.08449834003936238,METABRIC
trimebutine,0.6458084078981831,0.00811697945091318,0.08449834003936238,METABRIC
diphenyleneiodonium,0.32621583803980736,0.008523904104017894,0.08782703411452802,METABRIC
av-412,3.2760748869743432,0.00856376747999988,0.08782703411452802,METABRIC
mgcd-265,0.4211241054773618,0.008640479975471108,0.08782703411452802,METABRIC
busulfan,0.5814122613860975,0.008679520302956122,0.08782703411452802,METABRIC
bix-01294,0.10876203924028457,0.008759752182757333,0.08802334311423514,METABRIC
halofantrine,0.5669844848304358,0.009100383121232725,0.0908155474236121,METABRIC
amg-232,1.7206510601678167,0.009187305897916819,0.09105501119373724,METABRIC
prednisolone-tebutate,1.6200924657936333,0.009371628662124733,0.09224997737479244,METABRIC
thiomersal,0.21501544499601719,0.009741023152088772,0.0940664608878101,METABRIC
litronesib,0.522685096788159,0.009742540613858052,0.0940664608878101,METABRIC
podophyllotoxin,0.37435460163247936,0.009751188067153777,0.0940664608878101,METABRIC
brivaracetam,0.4331672322070521,0.010223295431984988,0.09796760589458461,METABRIC
doxorubicin,0.26553987019737657,0.010836215335789458,0.10315791836110097,METABRIC
bisacodyl,0.5310624059073867,0.010984033527168969,0.10388167656087254,METABRIC
ly2606368,0.5229120866458025,0.011297031619472682,0.10614808281413618,METABRIC
pyroxamide,0.47022965936223127,0.01169631979381377,0.1091908047848292,METABRIC
frentizole,1.6881642019582186,0.012196434938602329,0.11290213916657793,METABRIC
idazoxan,1.8070015355921059,0.012249921112061322,0.11290213916657793,METABRIC
tipifarnib,0.5066074345102595,0.012494102549697867,0.11442383790767603,METABRIC
dehydrocholate-acid,0.6194446407255065,0.012575401344986593,0.11444406129682767,METABRIC
erlotinib,2.1294345306630715,0.012950355588507361,0.11711977835356344,METABRIC
lcl-161,0.5124271135475525,0.013131186198857905,0.11772161838065638,METABRIC
am-404,0.5687874299182729,0.013179614497350611,0.11772161838065638,METABRIC
camptothecin,0.636896123277872,0.01334002165114033,0.11842338238773042,METABRIC
venetoclax,1.4733894593388277,0.013503547330972875,0.11880889888341796,METABRIC
apatinib,0.6037420328488828,0.013625646172668576,0.11880889888341796,METABRIC
iem1754,0.4910704466577303,0.013629770017033437,0.11880889888341796,METABRIC
dexamethasone-acetate,1.4166166361568784,0.013777296355177703,0.11927832489403173,METABRIC
linalool,1.769704160564284,0.014120477568805266,0.11927832489403173,METABRIC
tedizolid,0.46230250486499275,0.014122496556058167,0.11927832489403173,METABRIC
scriptaid,0.34386011389884247,0.01416035819496626,0.11927832489403173,METABRIC
afobazole,1.5946707129777467,0.01425577509346178,0.11927832489403173,METABRIC
cyclosporine,0.4104379943130123,0.014255778362923022,0.11927832489403173,METABRIC
ly2608204,2.200308019728316,0.014260642851878015,0.11927832489403173,METABRIC
parbendazole,0.42371838014670354,0.014765103272491312,0.12278795652468351,METABRIC
kd-023,0.5047470244204361,0.01506516461510458,0.12456738970317902,METABRIC
gw-501516,1.569480704364955,0.015163573067850558,0.12466869448397588,METABRIC
3-amino-benzamide,0.5331749222229815,0.015397985242397626,0.12588070421327324,METABRIC
plinabulin,0.3147388757403584,0.015699695965065697,0.12762618012050597,METABRIC
ebastine,1.775219397148788,0.015821526891215205,0.1278980414055218,METABRIC
niacin,0.6486833642575109,0.015935296375653964,0.12810207697539605,METABRIC
thiocolchicoside,0.5306686870769369,0.016658460494446286,0.13293300646628994,METABRIC
hexachlorophene,0.46756119136633956,0.016719977316423475,0.13293300646628994,METABRIC
propoxycaine,0.6784203044767086,0.01704106884323616,0.13474550063476898,METABRIC
tyrphostin-ag-1296,0.4157333378693275,0.017317296452561155,0.13618547808073908,METABRIC
clofazimine,0.5649676853582908,0.01756520139675964,0.13672778577216263,METABRIC
bnc105,0.5051924570628594,0.01757523714832222,0.13672778577216263,METABRIC
tanespimycin,0.5501614401366413,0.01791961411561605,0.13866139906575628,METABRIC
streptozotocin,0.6609335377762713,0.01817541733320727,0.13963385994129224,METABRIC
monensin,0.4669926158884127,0.018413895691151507,0.13963385994129224,METABRIC
taselisib,1.4678560021093237,0.01845947499444511,0.13963385994129224,METABRIC
anagrelide,0.33192315069390227,0.018520295583947907,0.13963385994129224,METABRIC
etoposide-phosphate,0.47454732851231274,0.018527782383364277,0.13963385994129224,METABRIC
navitoclax,1.9396314670139798,0.018698596752298433,0.14000912012173955,METABRIC
mibefradil,1.541121539949962,0.018771091433045936,0.14000912012173955,METABRIC
a-803467,1.8813121179871473,0.019202872852129994,0.1424898058554051,METABRIC
securinine,0.6462984411022582,0.019432920932052844,0.1424898058554051,METABRIC
lgx818,0.7719290042857948,0.019436842574546073,0.1424898058554051,METABRIC
selumetinib,0.465270886508986,0.019659960212986233,0.1424898058554051,METABRIC
sc-144,0.7111627074903956,0.019722120943190757,0.1424898058554051,METABRIC
cpi-1189,1.731343501595717,0.020007082922368063,0.1424898058554051,METABRIC
xl-647,2.20194049103897,0.02002548614522597,0.1424898058554051,METABRIC
m-344,0.3109455056488836,0.02010239038017887,0.1424898058554051,METABRIC
epinastine,1.847181149549928,0.020121801163706387,0.1424898058554051,METABRIC
sodium-stibogluconate,1.7460671317429064,0.020170412401697528,0.1424898058554051,METABRIC
ly456236,0.5797407615762814,0.020186876434248824,0.1424898058554051,METABRIC
napabucasin,0.4662185718057159,0.020421848491321164,0.1433604788383605,METABRIC
flumethasone-pivalate,1.3626430874952453,0.020508375341769608,0.1433604788383605,METABRIC
crizotinib-(s),0.25973450527057473,0.020833218731148087,0.1449310937690927,METABRIC
psb-1115,0.7068876721990289,0.020967610527779075,0.14516809776888193,METABRIC
fleroxacin,1.4412170839692653,0.02138958122824619,0.14687212888225082,METABRIC
flumatinib,1.5227356949497701,0.021416737521876245,0.14687212888225082,METABRIC
phenylbutazone,0.6246489599270003,0.021723439709071944,0.14827272291993918,METABRIC
mrs-1220,0.5645231526333724,0.022000573998148296,0.14945929847568348,METABRIC
rita,0.6812466534441376,0.022365609706683314,0.15010671208346893,METABRIC
tenovin-6,2.9473639339809514,0.022393966432235835,0.15010671208346893,METABRIC
tremorine,0.3860048054267096,0.022492830417113314,0.15010671208346893,METABRIC
olda,1.5669140675734683,0.022510819987638396,0.15010671208346893,METABRIC
betulinic-acid,0.5603228873629594,0.022685688466501423,0.15057885876618146,METABRIC
hyodeoxycholic-acid,0.6360115486394413,0.022953776859512935,0.15166262609915623,METABRIC
kpt-276,0.3943921969629076,0.023084415800451716,0.1518324984693347,METABRIC
torasemide,0.6384123354373612,0.02357354706403735,0.15434806607086898,METABRIC
y-27632,1.9571453284051263,0.02485211676970808,0.16114902520948238,METABRIC
ban-orl-24,1.6683144133031858,0.02495106418243058,0.16114902520948238,METABRIC
tivozanib,0.33099323805227365,0.025009046611079108,0.16114902520948238,METABRIC
teriflunomide,1.803137279089101,0.02505772679484004,0.16114902520948238,METABRIC
ro-106-9920,0.19710766842998814,0.02575915104829663,0.16492695383577533,METABRIC
cyclocytidine,1.7654147687477966,0.02663650302571433,0.16840168250135507,METABRIC
ar-42,0.48468071478663677,0.02663652817746145,0.16840168250135507,METABRIC
calcitriol,0.5336780179851439,0.02680430559739081,0.16840168250135507,METABRIC
fudosteine,1.8129501896270488,0.026809907341432862,0.16840168250135507,METABRIC
parthenolide,2.940740186762052,0.026883751664003468,0.16840168250135507,METABRIC
triamcinolone,1.5522172813548742,0.02724003254078534,0.16989796157981202,METABRIC
4-chlorophenylguanidine,1.7075780494691322,0.028177213457169222,0.17492282669322518,METABRIC
