drug,HR,pvalue,padj
baicalein,2.1071721788293516,1.2991231847931356e-05,0.00011123261824826435
bw-180c,2.359398146928592,1.3970034788619597e-05,0.00011890964905372092
at13387,0.3387432539764971,1.4223037010556272e-05,0.00012035517283201713
dapivirine,0.3022474145736554,1.4764121531394031e-05,0.0001242074642786463
jk-184,0.23228002301027434,1.4983824659450628e-05,0.0001253271345793356
streptozotocin,0.5899355527291467,1.5268206498861203e-05,0.00012697180921754115
albendazole,0.40382051801580005,1.5481798494629375e-05,0.0001280123566955926
gdc-0349,0.17032481997477653,1.605023441279099e-05,0.00013195846133698047
5-hydroxymethyl-tolterodine,0.3678318521659171,1.6787910877207476e-05,0.00013724354259502382
tacedinaline,14.22763762444384,1.7015146729185794e-05,0.00013831976020860587
lovastatin,0.4795422998464175,1.740054245579753e-05,0.0001406624856622292
lacitol,0.5733359040833761,1.817451399276687e-05,0.00014610289859740924
rita,0.5846148784615572,1.9159890410093995e-05,0.00015317326753262988
plinabulin,0.20013726543437618,1.93188046546148e-05,0.00015359511173201987
zardaverine,0.2422327019487872,2.109561993623012e-05,0.00016680525709139335
mycophenolate-mofetil,0.40379912991754774,2.140181677733582e-05,0.00016830667867828765
pyritinol,2.04937360498414,2.231592292898232e-05,0.00017454670528776982
nsc-663284,0.23683300927550116,2.348205142525228e-05,0.00018044006724862185
mk-5108,0.25220138831850986,2.3532999324577825e-05,0.00018044006724862185
piperine,0.3817364714537467,2.3558914017163507e-05,0.00018044006724862185
eprobemide,0.6007967937671376,2.356819123012407e-05,0.00018044006724862185
niraparib,0.23807188159051257,2.4588816893974224e-05,0.00018726325287147738
mk-8745,0.29326681748712063,2.497981289642525e-05,0.00018924496995354628
indirubin,7.665022293012161,2.5919920865974132e-05,0.00019499104644775617
doxifluridine,0.3370060231477708,2.6007789885568032e-05,0.00019499104644775617
norfloxacin,0.4794759602281757,2.6410099804407187e-05,0.0001969866722524598
gamma-aminobutyric-acid,1.8445543513071854,2.764804588163049e-05,0.00020516267892676574
trapidil,0.44762896243296624,2.8622868260797723e-05,0.0002113127059866036
clofibrate,0.47055389324836927,2.938420758350561e-05,0.00021583222524534324
pyroxamide,0.35299684370978185,3.1724951048712144e-05,0.00023184850589639633
bvd-523,2.1988747913862983,3.189633175972017e-05,0.00023192960832319135
ibutilide,0.4732347634166334,3.3449595089044764e-05,0.00024200782046923888
bms-690514,2.8803471466494317,3.3637192725846265e-05,0.0002421543177825848
mesoridazine,0.4654211259617283,3.499814037197833e-05,0.0002507045005854091
raf265,0.42013396291265215,3.543910669478873e-05,0.00025166159167356537
nocodazole,0.23751285837875236,3.5479588598070034e-05,0.00025166159167356537
nvp-bhg712,0.4895492727874537,3.761942289070465e-05,0.00026553807279438847
betamethasone-dipropionate,0.5874114593432002,3.8647911440424264e-05,0.00027147343618589274
xl888,0.1802795883990089,3.952490389816005e-05,0.00027629244415766955
abt-751,0.2477251935589535,4.0215555920738995e-05,0.0002797687952755256
levonorgestrel,2.4266378278055427,4.101588788084711e-05,0.0002839712428879702
pirenperone,0.20624081962504368,4.270835492637841e-05,0.000294280902754617
lestaurtinib,3.183919527418261,4.298143980319318e-05,0.00029475897343706414
gdc-0879,1.433277803726893,4.4143534961560944e-05,0.0003013004485348051
brilliant-green,0.1360058555083277,4.4916513371789904e-05,0.0003051370650186854
tivantinib,0.28586635569349506,4.54220273415344e-05,0.0003071293157158891
gw-843682x,0.27236304318926957,4.595617344331462e-05,0.0003092957347557035
mln0128,0.3921265449803332,4.635133041181063e-05,0.0003105109958606018
dasatinib,1.9447890219694912,4.8576120628581e-05,0.0003239154218873581
bibx-1382,0.5003634602031305,5.311681731369644e-05,0.0003525689662977925
kpt-185,0.25502369408694087,5.396528191890208e-05,0.0003565557051752236
chicago-sky-blue-6b,2.1105430426201743,5.42102661634756e-05,0.0003565557051752236
way-170523,0.5046896212676147,5.642500062520687e-05,0.00036944332988540426
lenvatinib,0.17604788435190244,5.7347173471967387e-05,0.0003737899099726883
tozasertib,0.36600085539611243,5.762127645836328e-05,0.00037389231854372944
tame,0.5494949817584608,5.845607102764011e-05,0.00037761578025444307
tedizolid,0.3521327908258462,5.991945227661052e-05,0.0003853486553078019
idazoxan,2.544572469108809,6.577696532095307e-05,0.00042037587094028345
sb-2343,0.13915225085122135,6.594700947024488e-05,0.00042037587094028345
halcinonide,0.7040355813900423,6.859596212915119e-05,0.000435343671933692
pf-04457845,0.3632319398889569,6.99391200566927e-05,0.00044192972367700583
hypoestoxide,0.3464436694697893,7.334726340827348e-05,0.0004614499571816162
nsc-319726,0.413070138853465,7.462418044322523e-05,0.00046745103507076587
estradiol,2.081809938936353,7.495360690111626e-05,0.00046749081545653117
ki-16425,0.41096362197254793,7.88358921669588e-05,0.000489594574959611
nan-190,2.0412860918204823,7.953092105045266e-05,0.0004918001827350641
biib021,0.3404986276174292,8.275240909438445e-05,0.0005095435572747843
methotrexate,0.34194144778465896,8.696122576843944e-05,0.0005331902274869994
imiquimod,28.77494456423242,8.934316145682586e-05,0.0005454833528608735
disulfiram,0.1548291165824464,9.046746165562852e-05,0.0005500269622508171
apatinib,0.46941200152051044,9.221982546175168e-05,0.0005583350939044129
ppt,0.49229328298505415,9.974590595132497e-05,0.0006013846912981968
acetazolamide,2.005497100085866,0.00010223115892274088,0.0006138111492166227
mrs-1220,0.4200500261496833,0.00010829451068625407,0.0006475295742273125
acetylsalicylsalicylic-acid,0.4724836747989124,0.00010908390102313939,0.0006495654517715338
chlorpyrifos,1.9141589052004604,0.0001108822329749819,0.0006575679963721264
