drug,HR,pvalue,padj
kw-2478,0.5489714966991002,0.00026765249881707494,0.0038729316578830744
azd2461,0.7819439702661938,0.00027498529448968903,0.003939640803233465
merimepodib,0.5278271242717374,0.0002808141999842694,0.003977944663954523
genipin,0.514282684976404,0.0002831570838889536,0.003977944663954523
everolimus,0.7346261929376029,0.0002949501535310403,0.004103777616917455
trovafloxacin,0.6811988246360402,0.00029845380644958393,0.004112977694595695
s26948,1.3405206859073993,0.00030933497841197587,0.0042227142807748025
nvp-tae226,2.354443559823618,0.0003473843697388696,0.00462718174073513
pralatrexate,0.5982891501115709,0.0003488760681630636,0.00462718174073513
elesclomol,0.6370438961338319,0.00034955914647517156,0.00462718174073513
ggti-298,0.6860670810216383,0.00035236109062181695,0.00462718174073513
ku-0063794,0.49783060194280276,0.0003565483862550263,0.00462718174073513
cpp,1.5940117491721282,0.0003581509018398995,0.00462718174073513
harringtonine,0.4350889022617016,0.00036362188469567756,0.0046562908597756235
ag-14361,0.6250867734855396,0.0003714429126563514,0.004714718373804741
pf-04217903,1.4411467878514184,0.00039593619629294235,0.004981910226399023
tanespimycin,0.6463410000641971,0.0004096836767045744,0.005088478563395376
d-7193,0.6799461645575091,0.0004114388333913331,0.005088478563395376
bi-d1870,0.7147054279446835,0.00042386766341712855,0.005197767025123602
oxiracetam,0.54484207084905,0.000428260431613515,0.005207502895334086
epirubicin,0.4191357342784896,0.0004494152133651463,0.005419198447828056
cp-724714,3.281520562846691,0.00046017568145543164,0.0055030926534380955
lurasidone,0.6849049728877128,0.0004881234167679918,0.005748198086479078
tak-715,0.656759733892636,0.0004886166998181939,0.005748198086479078
etomoxir,0.6306496701636055,0.0005010287350229045,0.005846682093372119
azd7762,0.45579589957013183,0.0005270912693531861,0.006101608534032482
bis(maltolato)oxovanadium(iv),0.6130163069642062,0.0005346558360329745,0.006140055513807255
tetrahydropapaverine,0.6993440491177199,0.0005630221662969283,0.006411669338793591
crenolanib,0.382514157452274,0.0005671690914758671,0.006411669338793591
ikk-2-inhibitor-v,0.48584922291371,0.000575417594492787,0.006454084294011459
bix-01294,0.22869600635902745,0.0005813081315344028,0.006454084294011459
