target,n_sig,n_total,pct_sig,odds_ratio,pvalue,padj
SRC,7,13,53.84615384615385,1.9087009803921569,0.18590599925882936,1.0
ERBB2,12,25,48.0,1.5122020836306551,0.20403099858862647,1.0
BCL2,6,11,54.54545454545455,1.961834862385321,0.2050246876190374,1.0
IKBKB,5,9,55.55555555555556,2.042124542124542,0.22711097190509147,1.0
CA2,4,7,57.142857142857146,2.176721511273614,0.2530936331200941,1.0
ADORA1,4,7,57.142857142857146,2.176721511273614,0.2530936331200941,1.0
ERBB4,4,7,57.142857142857146,2.176721511273614,0.2530936331200941,1.0
CA1,4,7,57.142857142857146,2.176721511273614,0.2530936331200941,1.0
EGFR,20,46,43.47826086956522,1.2603215993046502,0.2680355284918631,1.0
ACHE,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
TRPV1,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
SCN4A,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
PPARG,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
ADORA3,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
STAT3,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
KIF11,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
SLC12A1,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
ADORA2B,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
PRKACA,3,5,60.0,2.447080291970803,0.28452815469928655,1.0
TOP1,6,12,50.0,1.6330275229357798,0.28454734789990266,1.0
FLT3,10,22,45.45454545454545,1.361675908810844,0.305597711395472,1.0
CSF1R,5,10,50.0,1.6318681318681318,0.3191051473226562,1.0
AGTR1,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
CYP2B6,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
DNMT3A,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
EPHB4,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
FGR,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
FRK,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
IL1B,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
SLC12A2,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
HIF1A,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
CA7,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
RARG,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
YES1,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
NOS3,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
TLR4,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
MIF,2,3,66.66666666666667,3.2604735883424407,0.3244533903008553,1.0
PDGFRA,9,20,45.0,1.335961086883596,0.33586397965064624,1.0
CHEK1,5,11,45.45454545454545,1.3583638583638584,0.414172197075672,1.0
PTPN1,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
ATP1A1,3,6,50.0,1.6295620437956204,0.41582422888947845,1.0
ESR1,8,19,42.10526315789474,1.185334003013561,0.44275511349980873,1.0
LCK,4,9,44.44444444444444,1.303107861060329,0.4689530637706455,1.0
KCNN4,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
MMP13,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
KCNJ11,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
CYP2C19,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
GPER1,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
HDAC11,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
CACNB1,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
CYP2C9,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
CYP3A7,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
CYP2D6,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
ATR,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
MAP2,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
KCNH1,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
PKIA,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
SCN9A,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
SCN3A,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
SCN7A,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
SCN8A,2,4,50.0,1.6284153005464481,0.4914450279039388,1.0
