drug,n_samples,pearson_r,spearman_r,rmse
enocitabine,86,0.005433313008510611,0.04076607387140903,0.1890887074565374
enoximone,86,0.10965367678678584,0.07901316099816029,0.12157235955393868
entinostat,95,0.082039408060806,0.20874860022396416,0.12715395423585749
enzalutamide,66,0.17736588685277915,0.1517378144243816,0.20653698186965458
epiandrosterone,88,0.024591274503695432,-0.0030291289493149243,0.24351165794972723
epinastine,77,-0.13913824601003108,-0.15234765234765235,0.2045844240286374
epinephrine,82,0.07649229101925159,-0.0025794233845952918,0.22621303419944494
epirubicin,56,0.33794040366049716,0.26083390293916614,0.0673126084537885
eplerenone,87,-0.15432744337381854,-0.05852253828584791,0.11363026786578662
epothilone-a,90,0.27036938407806493,0.2743137012799934,0.08938402674072776
epothilone-b,95,0.24111187821515634,0.2912513997760358,0.16445821032607444
epothilone-d,71,0.2058564131616465,0.19969818913480883,0.13258057958158626
eprinomectin,68,0.09949655047429207,0.049967553536664495,0.24603091430334204
eprobemide,84,0.11270669680016315,0.0867064898248456,0.23764268005848488
eprosartan,85,0.044265709700518734,0.034786007426226305,0.22035563154110321
eptifibatide,74,0.05041206502281069,0.10853757867456494,0.14669418219996913
epz-5676,88,0.18710021031953727,0.17410446972632176,0.19670469999043727
equol,86,-0.07682248669149662,-0.10482569932543988,0.1773273084471124
er-27319,93,0.07381919261710083,0.1261227656590373,0.0604221598028014
erastin,72,0.21065986077992607,0.3064184191909448,0.16280512159765248
ercalcitriol,89,0.03739544218650205,0.04073884916581547,0.26452024248511813
erdafitinib,88,0.30566869976835614,0.3221267303018563,0.15187552972554624
erlotinib,95,0.24540848829518366,0.34349616973441977,0.171015854233189
erteberel,90,0.11737776682944501,0.034119438613820635,0.2313702801910003
erythritol,87,0.11170727501947093,0.13999052270904716,0.2427769239148455
estradiol,77,0.09960278057199153,0.031205636468794363,0.24680019371777676
estradiol-benzoate,78,0.10659533411593584,0.10787946230984205,0.2238293900310157
estradiol-cypionate,85,0.049554937855231816,0.00533515731874145,0.21558459903029356
estramustine,85,0.06860370261223263,0.0805862894276388,0.06816844033836408
estramustine-phosphate,79,-0.13841823875351017,-0.1963242453748783,0.23036695329667656
estrone,82,-0.028900510888011918,-0.025065029766763534,0.21879421924065529
ethacridine-lactate-monohydrate,89,-0.0843886976859569,-0.095471569628873,0.23432177344836863
ethinyl-estradiol,83,-0.005598218016629231,-0.009991184249191888,0.33995691626015206
etofylline-clofibrate,60,0.10205751137816128,0.07507641011392054,0.1865322801535362
etomoxir,85,-0.02089146759969668,-0.016884893492280634,0.17520164140137354
etoposide,93,0.3325868414502651,0.31983527796842826,0.17585767689734713
etoposide-phosphate,90,0.36578061757583374,0.3426678190723135,0.13778300755908923
etp-46464,94,0.024384346530549585,0.11694541776541559,0.08943115404735633
evacetrapib,93,0.05261438728889973,0.048864551938169555,0.20766498173258227
everolimus,90,0.21485815183094334,0.3000861233831611,0.2923674233982493
