drug,fisher_p,mean_HR,n_cohorts,pvals,fisher_padj
diaveridine,0.10047468629651368,0.6388346440238901,3,"[np.float64(0.17853188882840157), np.float64(0.12468051363903677), np.float64(0.2208038586284412)]",0.18663269713871028
itraconazole,0.10087032177723143,0.8602786566700099,3,"[np.float64(0.028416652082545096), np.float64(0.5233571230099041), np.float64(0.33236876783889335)]",0.18712737898929985
frentizole,0.10112018042347137,1.324005520501765,3,"[np.float64(0.5617111217178734), np.float64(0.012196434938602329), np.float64(0.724103861652719)]",0.18735070559892839
oxyquinoline,0.10153120144927152,0.44861663128563467,3,"[np.float64(0.44770787458086114), np.float64(0.15206322297468156), np.float64(0.07329582074668228)]",0.18787167326994358
gsk2830371,0.10244225148639952,1.0421752281316115,3,"[np.float64(0.1514778244583838), np.float64(0.07709741071255384), np.float64(0.4328440369467156)]",0.18931537407512145
iobenguane,0.10274596108183887,0.6938100103685853,3,"[np.float64(0.05560069015916415), np.float64(0.2531022293147417), np.float64(0.36075165795944597)]",0.18957432618274733
selumetinib,0.10284439948407509,0.6045481846220468,3,"[np.float64(0.4985059436619653), np.float64(0.019659960212986233), np.float64(0.5187220048466974)]",0.18957432618274733
gw-441756,0.10334843425346507,0.5444090886319045,3,"[np.float64(0.39901726214223276), np.float64(0.038856485914302165), np.float64(0.3302270691185256)]",0.18986086466398486
rs-16566,0.10349555842906044,0.5593084878494616,3,"[np.float64(0.1005814007315195), np.float64(0.13392960078228705), np.float64(0.38086421319462604)]",0.18986086466398486
idarubicin,0.1035503382614944,0.9632291955400805,3,"[np.float64(0.06337359328367329), np.float64(0.19267251639132738), np.float64(0.42050372109810485)]",0.18986086466398486
bentazepam,0.10356241278373779,0.7241101497434163,3,"[np.float64(0.007412199613563132), np.float64(0.7235995759636311), np.float64(0.9574718812297601)]",0.18986086466398486
ouabain,0.10365589708676437,0.3654491772074146,3,"[np.float64(0.1470110892992632), np.float64(0.19012088014925166), np.float64(0.18397561975070126)]",0.18986086466398486
vandetanib,0.10401748020671786,0.7690579925148018,3,"[np.float64(0.03979555076248499), np.float64(0.4663479901788756), np.float64(0.27847809949285085)]",0.19009917977404878
menadione,0.1040487563103294,1.6063250966035483,3,"[np.float64(0.0655734467656162), np.float64(0.08770905725839243), np.float64(0.898985737772268)]",0.19009917977404878
cep-32496,0.10428050314149284,0.735726118308644,3,"[np.float64(0.16148063544572758), np.float64(0.4994763626411255), np.float64(0.06431214803072452)]",0.19028233044860043
sevelamer,0.10462397817851143,1.4605188048132058,3,"[np.float64(0.020906104385622275), np.float64(0.36394095665296544), np.float64(0.6850130231055283)]",0.19066863529509578
oncrasin-1,0.1050986194047735,1.1068115421845472,3,"[np.float64(0.03970741115473785), np.float64(0.30328577543462865), np.float64(0.4356481388449953)]",0.19129270726881414
torin-1,0.10585611091972968,0.2919714674946284,3,"[np.float64(0.35938688681718733), np.float64(0.05491985548966499), np.float64(0.26859803537317006)]",0.19242938756388045
y-27632,0.10645932467025898,1.6561883572779592,3,"[np.float64(0.7570823310928256), np.float64(0.02485211676970808), np.float64(0.28410472314199287)]",0.19328311517925315
felbamate,0.10735552963785955,0.9705537676629413,3,"[np.float64(0.020545085516733976), np.float64(0.31292987703906994), np.float64(0.8416486228088548)]",0.19466597918042952
proflavine-hemisulfate,0.1081381092144621,0.9926815884143583,3,"[np.float64(0.13877214328080983), np.float64(0.09353722032483662), np.float64(0.4213038309307926)]",0.19583960454734248
tak-632,0.10874498431561375,0.3319328103595816,3,"[np.float64(0.4304300593178414), np.float64(0.18497663500903955), np.float64(0.06924789363136213)]",0.19669249038086636
kifunensine,0.11015227200109878,1.178831237013558,3,"[np.float64(0.17204163793885913), np.float64(0.03536068270814954), np.float64(0.9234681502856729)]",0.19895359566270762
tms,0.11027006476951728,0.9560526921486777,3,"[np.float64(0.028268686601452632), np.float64(0.3867577808865612), np.float64(0.5146469183848638)]",0.19895359566270762
lidamidine,0.11074523072984432,0.5842740234910277,3,"[np.float64(0.20569158093687842), np.float64(0.10130317100765769), np.float64(0.27173317972269356)]",0.1995446848793902
thiocolchicoside,0.11087348074846559,0.6797934022443025,3,"[np.float64(0.5533267986999687), np.float64(0.016658460494446286), np.float64(0.6153188313754093)]",0.1995446848793902
sar131675,0.11508529121573763,1.0478807645561312,3,"[np.float64(0.22325469199371276), np.float64(0.029056218696872443), np.float64(0.9233940211296178)]",0.206789617400152
pik-75,0.11518481798515723,0.9426372269576596,3,"[np.float64(0.2320755460559856), np.float64(0.13303909027582508), np.float64(0.19425353441392038)]",0.206789617400152
sb-590885,0.11634680647033069,1.3017341391470096,3,"[np.float64(0.27822924073414007), np.float64(0.036523789616765855), np.float64(0.598961205890983)]",0.20861688842945292
filgotinib,0.11713242173146032,0.8705706238626656,3,"[np.float64(0.05673040780866989), np.float64(0.1800583120888274), np.float64(0.6017869617210726)]",0.20976561168988006
avanafil,0.11814423011386699,0.6858122048443135,3,"[np.float64(0.025225576716544757), np.float64(0.3644181414092258), np.float64(0.6772111229121587)]",0.21131607042616257
bts-54505,0.11853901110898435,0.8928445329057171,3,"[np.float64(0.022330288993255745), np.float64(0.3641412548924784), np.float64(0.7693658770394072)]",0.21176043095642016
nitisinone,0.1198758483591068,1.117102363328979,3,"[np.float64(0.05074486214970612), np.float64(0.2019313353970708), np.float64(0.6206890671589285)]",0.21388452845330155
melengestrol-acetate,0.12219569788051088,1.1333975960963392,3,"[np.float64(0.12737281545981596), np.float64(0.08404102330611134), np.float64(0.6111973420703674)]",0.21775514142007296
repaglinide,0.12262145939937918,0.7082791834614315,3,"[np.float64(0.022187548879086263), np.float64(0.42459552773166753), np.float64(0.698065082503308)]",0.2181809122568858
dalcetrapib,0.12273618699177957,0.6387527245578417,3,"[np.float64(0.03843170850494667), np.float64(0.7835764168541965), np.float64(0.21868028859134186)]",0.2181809122568858
rifampin,0.12332270179344129,0.6051021194008589,3,"[np.float64(0.26101073876600034), np.float64(0.25077720263006786), np.float64(0.10131971992337842)]",0.21895453925780312
baricitinib,0.12440332117357156,0.776687559794099,3,"[np.float64(0.009330100204100772), np.float64(0.7619399988112296), np.float64(0.9450112611502144)]",0.22060245801244857
osi-930,0.1245618994179869,0.8829999996222321,3,"[np.float64(0.014375041048376048), np.float64(0.5115057087482175), np.float64(0.9153836844791786)]",0.2206133028859572
d-4476,0.12575985058477002,0.5891441457679293,3,"[np.float64(0.15762668744672576), np.float64(0.6676156133837015), np.float64(0.06487260955440229)]",0.22246271857721542
dianhydrogalactitol,0.12758669359781205,0.7738117402962214,3,"[np.float64(0.021427153821039904), np.float64(0.5561852050262354), np.float64(0.5852214779981026)]",0.2254187370403346
nintedanib,0.13003386240752857,0.8958612747847613,3,"[np.float64(0.025731473318795953), np.float64(0.9510250193485902), np.float64(0.2931599244007654)]",0.2294621937849925
se-methylselenocysteine,0.13181158918201075,1.1957196324813675,3,"[np.float64(0.14186224064953656), np.float64(0.06128594004516384), np.float64(0.841996324475287)]",0.23201122272672994
ro-90-7501,0.13184390556472536,1.282590271056796,3,"[np.float64(0.01810120440310629), np.float64(0.7586638202770833), np.float64(0.5332607171741413)]",0.23201122272672994
3-amino-benzamide,0.13195938929101503,0.6676613693402688,3,"[np.float64(0.8825990177017647), np.float64(0.015397985242397626), np.float64(0.5395547193624108)]",0.23201122272672994
dexamethasone-acetate,0.13223507963940728,1.1789361978073778,3,"[np.float64(0.7780256460406672), np.float64(0.013777296355177703), np.float64(0.6862072305279168)]",0.23221378669687176
as-1949490,0.1327985388447489,0.7568107564717999,3,"[np.float64(0.08569729521189134), np.float64(0.10971191366482387), np.float64(0.7873076654806173)]",0.23292058873739596
aurora-a-inhibitor-i,0.1330474423629251,0.40171040888194043,3,"[np.float64(0.026702998007146088), np.float64(0.6950548405794466), np.float64(0.39994360877523827)]",0.23307463571325981
cp-673451,0.13424089292506136,0.7615407368065481,3,"[np.float64(0.04639984011036602), np.float64(0.590720649791449), np.float64(0.27445120848603166)]",0.23473645013657865
camylofine-chlorhydrate,0.13432051189570637,0.8304534216031421,3,"[np.float64(0.013023082292290412), np.float64(0.6347635530102522), np.float64(0.9107986913052175)]",0.23473645013657865
