drug,HR,pvalue,padj,cohort
gsk1292263,0.3708631575764928,8.72681003049823e-06,7.970530556156392e-05,SCANB
gossypol,0.018060666414051938,8.758219477739229e-06,7.970530556156392e-05,SCANB
piretanide,0.4654982350025672,9.168094528791684e-06,8.291395489475979e-05,SCANB
entinostat,3.278221210365015,9.329108908099319e-06,8.361619612191335e-05,SCANB
letrozole,0.471601878309379,9.39720715485552e-06,8.361619612191335e-05,SCANB
pi-828,0.34911267133687146,9.419101567292243e-06,8.361619612191335e-05,SCANB
iododexetimide,0.457943637928516,9.684556618378004e-06,8.544849650483518e-05,SCANB
penfluridol,0.10524183826685045,1.1106010991574233e-05,9.739635093822978e-05,SCANB
cefditoren-pivoxil,2.7970302703197465,1.1270562729897352e-05,9.824400162747871e-05,SCANB
pu-h71,0.07419460203431033,1.1430402217339212e-05,9.904067070952e-05,SCANB
obatoclax,0.3489841424580745,1.260863223894384e-05,0.00010859935029614128,SCANB
baicalein,2.1071721788293516,1.2991231847931356e-05,0.00011123261824826435,SCANB
bw-180c,2.359398146928592,1.3970034788619597e-05,0.00011890964905372092,SCANB
at13387,0.3387432539764969,1.4223037010556123e-05,0.00012035517283201585,SCANB
dapivirine,0.3022474145736552,1.4764121531393967e-05,0.00012420746427864576,SCANB
jk-184,0.2322800230102744,1.49838246594507e-05,0.00012532713457933623,SCANB
streptozotocin,0.5899355527291467,1.5268206498861203e-05,0.00012697180921754115,SCANB
albendazole,0.4038205180158,1.5481798494629375e-05,0.0001280123566955926,SCANB
gdc-0349,0.17032481997477655,1.605023441279105e-05,0.00013195846133698096,SCANB
5-hydroxymethyl-tolterodine,0.3678318521659171,1.6787910877207476e-05,0.00013724354259502382,SCANB
tacedinaline,14.22763762444384,1.7015146729185794e-05,0.00013831976020860587,SCANB
lovastatin,0.47954229984641744,1.7400542455797467e-05,0.0001406624856622287,SCANB
lacitol,0.5733359040833761,1.817451399276687e-05,0.00014610289859740924,SCANB
rita,0.5846148784615572,1.9159890410093995e-05,0.00015317326753262988,SCANB
plinabulin,0.20013726543437618,1.93188046546148e-05,0.00015359511173201987,SCANB
zardaverine,0.24223270194878715,2.1095619936230047e-05,0.00016680525709139276,SCANB
mycophenolate-mofetil,0.4037991299175475,2.1401816777335576e-05,0.00016830667867828575,SCANB
pyritinol,2.04937360498414,2.231592292898232e-05,0.00017454670528776982,SCANB
nsc-663284,0.2368330092755011,2.3482051425252155e-05,0.00018044006724862185,SCANB
mk-5108,0.25220138831850974,2.3532999324577825e-05,0.00018044006724862185,SCANB
piperine,0.3817364714537467,2.3558914017163507e-05,0.00018044006724862185,SCANB
eprobemide,0.6007967937671376,2.356819123012407e-05,0.00018044006724862185,SCANB
niraparib,0.2380718815905125,2.4588816893974135e-05,0.0001872632528714767,SCANB
mk-8745,0.2932668174871206,2.4979812896425157e-05,0.00018924496995354558,SCANB
indirubin,7.665022293012161,2.5919920865974132e-05,0.00019499104644775617,SCANB
doxifluridine,0.3370060231477708,2.6007789885568032e-05,0.00019499104644775617,SCANB
norfloxacin,0.4794759602281757,2.6410099804407187e-05,0.0001969866722524598,SCANB
gamma-aminobutyric-acid,1.8445543513071856,2.764804588163049e-05,0.00020516267892676574,SCANB
trapidil,0.44762896243296624,2.8622868260797856e-05,0.00021131270598660458,SCANB
clofibrate,0.47055389324836927,2.938420758350561e-05,0.00021583222524534324,SCANB
pyroxamide,0.35299684370978185,3.1724951048712144e-05,0.00023184850589639633,SCANB
bvd-523,2.1988747913862983,3.189633175972017e-05,0.00023192960832319135,SCANB
ibutilide,0.47323476341663334,3.3449595089044635e-05,0.00024200782046923794,SCANB
bms-690514,2.8803471466494313,3.3637192725846265e-05,0.0002421543177825848,SCANB
mesoridazine,0.4654211259617283,3.499814037197833e-05,0.0002507045005854091,SCANB
raf265,0.4201339629126522,3.543910669478873e-05,0.00025166159167356537,SCANB
nocodazole,0.2375128583787524,3.5479588598070034e-05,0.00025166159167356537,SCANB
nvp-bhg712,0.48954927278745375,3.761942289070465e-05,0.00026553807279438847,SCANB
betamethasone-dipropionate,0.5874114593432003,3.864791144042439e-05,0.00027147343618589366,SCANB
xl888,0.18027958839900884,3.952490389815976e-05,0.0002762924441576675,SCANB
abt-751,0.2477251935589535,4.0215555920738995e-05,0.0002797687952755256,SCANB
levonorgestrel,2.4266378278055427,4.1015887880846976e-05,0.00028397124288796923,SCANB
pirenperone,0.20624081962504368,4.270835492637841e-05,0.000294280902754617,SCANB
lestaurtinib,3.1839195274182597,4.298143980319356e-05,0.00029475897343706674,SCANB
gdc-0879,1.433277803726893,4.4143534961560944e-05,0.0003013004485348051,SCANB
brilliant-green,0.13600585550832764,4.4916513371789654e-05,0.00030513706501868366,SCANB
tivantinib,0.2858663556934953,4.542202734153503e-05,0.0003071293157158934,SCANB
gw-843682x,0.27236304318926946,4.595617344331425e-05,0.000309295734755701,SCANB
mln0128,0.3921265449803331,4.635133041181051e-05,0.00031051099586060097,SCANB
dasatinib,1.9447890219694914,4.8576120628581e-05,0.0003239154218873581,SCANB
bibx-1382,0.5003634602031305,5.311681731369644e-05,0.0003525689662977925,SCANB
kpt-185,0.25502369408694087,5.396528191890208e-05,0.00035655570517522647,SCANB
chicago-sky-blue-6b,2.110543042620174,5.4210266163476036e-05,0.00035655570517522647,SCANB
way-170523,0.5046896212676147,5.642500062520687e-05,0.00036944332988540426,SCANB
lenvatinib,0.17604788435190244,5.734717347196711e-05,0.0003737899099726865,SCANB
tozasertib,0.36600085539611227,5.762127645836284e-05,0.00037389231854372657,SCANB
tame,0.5494949817584608,5.845607102764011e-05,0.00037761578025444307,SCANB
tedizolid,0.352132790825846,5.991945227660986e-05,0.00038534865530779765,SCANB
idazoxan,2.5445724691088087,6.577696532095326e-05,0.0004203758709402822,SCANB
sb-2343,0.1391522508512213,6.594700947024468e-05,0.0004203758709402822,SCANB
halcinonide,0.7040355813900424,6.859596212915154e-05,0.0004353436719336942,SCANB
pf-04457845,0.363231939888957,6.993912005669285e-05,0.0004419297236770068,SCANB
hypoestoxide,0.3464436694697893,7.334726340827348e-05,0.0004614499571816162,SCANB
nsc-319726,0.413070138853465,7.462418044322523e-05,0.00046745103507076587,SCANB
estradiol,2.081809938936353,7.495360690111626e-05,0.00046749081545653117,SCANB
ki-16425,0.41096362197254793,7.88358921669588e-05,0.000489594574959611,SCANB
nan-190,2.0412860918204827,7.953092105045225e-05,0.0004918001827350616,SCANB
biib021,0.3404986276174292,8.275240909438445e-05,0.0005095435572747843,SCANB
methotrexate,0.34194144778465896,8.696122576843944e-05,0.0005331902274869994,SCANB
imiquimod,28.77494456423246,8.934316145682506e-05,0.0005454833528608686,SCANB
disulfiram,0.1548291165824464,9.046746165562852e-05,0.0005500269622508171,SCANB
apatinib,0.4694120015205104,9.221982546175146e-05,0.0005583350939044116,SCANB
ppt,0.4922932829850542,9.974590595132537e-05,0.0006013846912981992,SCANB
acetazolamide,2.005497100085866,0.00010223115892274114,0.0006138111492166242,SCANB
mrs-1220,0.42005002614968323,0.00010829451068625395,0.0006475295742273118,SCANB
acetylsalicylsalicylic-acid,0.4724836747989124,0.00010908390102313939,0.0006495654517715338,SCANB
chlorpyrifos,1.9141589052004604,0.00011088223297498171,0.0006575679963721252,SCANB
rociletinib,8.26247322522956,0.00011310418110489485,0.000667032416426562,SCANB
diphemanil,0.4939737222908982,0.00011340012055351366,0.000667032416426562,SCANB
thiomersal,0.16865859029376068,0.00011507962639608265,0.0006741709287252291,SCANB
