drug,n_samples,pearson_r,spearman_r,rmse
benzyldimethylhexadecylammonium,89,0.052636568,0.044722505958461015,0.16076757
bephenium-hydroxynaphthoate,81,-0.09557917,-0.1075880758807588,0.2017859
berberine,94,0.011423394,-0.04292164866524582,0.10145815
beta-lapachone,94,0.06662625,0.12692988476682443,0.06477268
beta-naphthol,81,0.09946713,0.13211382113821138,0.19686662
betamethasone,80,0.024058541,0.017674636661978434,0.24598132
betamethasone-dipropionate,90,0.25775167,0.19772811458204717,0.278283
betulinic-acid,73,-0.026338834,0.08453659138590645,0.17068297
bexarotene,86,-0.015882976,-0.05065579886272529,0.08625973
bicalutamide,77,0.14585544,0.15237394184762604,0.17220084
bifemelane,90,-0.009860355,0.004519076429188788,0.1917667
bindarit,77,-0.04700453,-0.06404122193595878,0.19217953
birinapant,92,-0.041802526,-0.09517130835503908,0.28974897
bisacodyl,82,-0.059171014,-0.024956193337033774,0.17450505
bisindolylmaleimide-ix,95,-0.118654504,0.0059210526315789476,0.07585407
bitopertin,91,-0.09588838,-0.1481923873228221,0.14644948
blebbistatin-(-),84,0.2604122,0.28097600485977525,0.17435616
bortezomib,95,-0.045635343,-0.03748613342034928,0.14537741
bosentan,87,0.16436708,0.14347160457826053,0.22724767
bosutinib,87,0.16145074,0.1665816140555515,0.3052838
brefeldin-a,92,0.10869323,0.01570519242328499,0.06911806
brequinar,89,0.10260101,0.07176111250557363,0.09737723
brigatinib,95,0.08184835,0.06660857575830174,0.14142847
brilliant-green,91,0.043054666,0.12339544513457558,0.07835047
brivaracetam,93,-0.052390438,-0.08707588553012442,0.11758853
bromosporine,84,0.15738153,0.1419054368735446,0.26033795
broxaldine,93,0.2117488,0.1415057742233893,0.1493656
broxyquinoline,93,-0.17275013,-0.1431321058756826,0.14437364
bruceantin,93,0.060455315,0.03464534033600907,0.102887645
bucladesine,49,-0.19471936,-0.02887755102040816,0.17566778
bumetanide,72,0.07269958,0.01984050421248955,0.24912442
buparlisib,89,-0.010729402,0.11239359891045288,0.122100696
buphenine,81,0.09948548,0.06542457091237579,0.33827886
busulfan,84,0.112223275,0.10721879113091021,0.29442233
butamben,90,0.12780987,0.09287566366218052,0.1989082
buthionine-sulfoximine,84,0.033771597,0.05412574668421586,0.22495113
butylscopolamine-bromide,87,0.23134637,0.16180651746008604,0.15276116
cabazitaxel,93,0.2216893,0.2660320491778818,0.18549472
cabozantinib,86,0.18955384,0.25422897306476716,0.20015201
caffeic-acid,83,-0.081672035,-0.05190798035346963,0.23268135
caffeic-acid-phenethyl-ester,85,0.18474928,0.19972640218878246,0.26824284
calcitriol,88,0.0405612,-0.05792328554823713,0.14385167
camptothecin,67,0.09926465,0.18269614494373054,0.33351675
camylofine-chlorhydrate,80,0.0690839,0.11310360993905297,0.15156333
candesartan,82,-0.056009144,-0.044154939541363285,0.22406505
canertinib,84,-0.18877037,-0.23766039728365046,0.14860226
canrenone,82,0.16867837,0.19143239625167335,0.18363291
capecitabine,83,-0.09933967,-0.12097926112640726,0.08400971
capsaicin,59,0.091542535,0.042723553477498545,0.23261437
captamine,91,-0.023650106,-0.11076604554865425,0.24374379
