drug,n_samples,pearson_r,spearman_r,rmse
AST-1306,321,-0.0833269010424444,-0.10020280664073838,0.1741555581243577
irinotecan,264,0.0740858515649927,0.16083258874707326,0.12186701733547922
PLX-4720,255,0.037021017830189754,0.02174400764242705,0.07129223816300896
OSI-930,263,0.14303336360495367,0.14809305430586595,0.04793165489494113
bicalutamide,252,0.017833803430368136,0.0272428074264208,0.06138818546731795
mitomycin-c,311,0.20627764984913174,0.23351152529660985,0.5075443341439557
BIBR-1532,203,-0.020741217360368474,-0.07893106030394405,0.05909341169349743
VX-702,175,0.04520329300172346,0.0756000895656068,0.08389437318183612
AR-12,311,0.025376589451490763,0.03936992246354955,0.15794007698636403
MG-132,52,0.027071236369798864,0.060872534790403825,0.13848909020562586
GDC-0068,281,0.1059973366637496,0.10885028502201212,0.09684596797283267
doxorubicin,314,0.1927789347119735,0.18907284286906187,0.18903853422582634
alvocidib,324,0.1831806077192322,0.16345339396976363,0.1561307190275452
canertinib,316,-0.04108848114209358,-0.04076645312918923,0.1339606983464481
bortezomib,277,0.0953091607123189,0.11849669534502674,0.09966831256404836
GSK1070916,273,0.09986804589572511,0.0678396850037039,0.113329593402642
PD-0325901,266,-0.0016924428019797137,-0.012944700100898845,0.13552115581863228
NVP-TAE684,58,0.07686147624669816,-0.13666984527361656,0.22075290502564293
AZD6482,19,0.0937601456930914,0.07017543859649124,0.06612152683791496
fludarabine,236,0.03699204844601791,0.01613022499965764,0.11450379369727297
P22077,223,0.040291350135611935,0.0017097494675970013,0.20310371507451783
foretinib,287,0.14835321593013348,0.0900212592285763,0.1736348910799372
pyrimethamine,50,0.048737625619677524,0.16936374549819924,0.1416916921356166
VE-822,224,0.07219511116903624,0.08103459320948111,0.07753518986065164
sunitinib,56,0.15227183540770134,0.1289131920710868,0.1061113712269637
belinostat,313,-0.056170894413667995,-0.04561246836027569,0.28758292688013043
PD-173074,157,-0.0160126204197313,-0.13443707787818085,0.06191967023759186
quizartinib,170,0.0014628106360474373,-0.12772393915523234,0.05413539750713699
gefitinib,190,0.1506759555226553,0.12323041460544906,0.10338248879838507
taselisib,278,0.02203319462535687,-0.00901340183239457,0.10571622178849477
lenalidomide,161,0.05534197564375579,0.04353864734299518,0.05323167263835435
obatoclax,281,0.008138739950157075,0.040283832166924466,0.1825011077537264
IKK-2-inhibitor-V,326,0.08671170367359392,0.05054158314247243,0.2600198644405977
masitinib,313,0.12959155217904683,0.04850367779998842,0.06805291171865768
NVP-BHG712,308,-0.06786329799730315,-0.11277685345551637,0.09208890132810246
cytarabine,249,0.060677298716240016,0.1757085114652157,0.08188184040351078
niraparib,211,-0.05441265684968722,-0.07333835796681187,0.18537275909914233
nilotinib,195,0.10328460112338109,0.10837851397497936,0.061887824167621674
NSC-319726,314,0.09527196823744383,0.05710932874401261,0.27166336714130457
