tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
NEUROG2,643,0.00010228315243170293,405,0.00040142156076123655,135,0.0006344231400307211,394.3333333333333,False
HAND1,531,0.00016728020825046934,342,0.0005006393320482774,316,0.0003358837516139712,396.3333333333333,False
RCOR2,379,0.0002977374436644216,137,0.0010700358184156798,679,8.025802027804495e-05,398.3333333333333,False
TLX3,73,0.0009626225609364072,487,0.00029447064050393897,635,0.00010198019180181332,398.3333333333333,False
TCF3,619,0.00011460265885819932,135,0.0010728177690135922,444,0.0002204266815665919,399.3333333333333,False
RXRA,105,0.00079671771538525,505,0.0002757933906044248,589,0.00012557405873601303,399.6666666666667,False
LHX3,287,0.0003936421294245961,526,0.00025440779532028967,388,0.0002623482711318171,400.3333333333333,False
PAX7,498,0.00019014710080406957,597,0.00017336244197643035,106,0.0007133209897856983,400.3333333333333,False
RORB,213,0.0005179786726192547,496,0.0002795590698107817,493,0.00018316761164785785,400.6666666666667,False
NR3C1,477,0.00020640130308934067,77,0.0013600288109845485,650,9.205443854815536e-05,401.3333333333333,False
HOXB13,375,0.0002996254621104361,324,0.0005215440793714757,506,0.0001748638218983119,401.6666666666667,False
AHRR,158,0.000639909884987653,408,0.0003976125620035666,641,9.935680628986478e-05,402.3333333333333,False
ATF4,300,0.00037241413242279094,357,0.00046165263863644435,552,0.0001452650023787761,403.0,False
SRSF2,670,8.681573800720688e-05,301,0.0005590711274855879,241,0.00042025714796953696,404.0,False
CEBPE,642,0.00010314153668023243,253,0.0006858652920500115,317,0.00033543769470931943,404.0,False
ZNF395,384,0.0002861427748843143,620,0.00015368120377763766,212,0.0004634273027821826,405.3333333333333,False
YBX3,301,0.0003715373909058557,466,0.000324882203268785,451,0.00021447224278083675,406.0,False
KAT6A,397,0.0002763829862336327,129,0.0010872281656261432,692,7.500318704549635e-05,406.0,False
OTX2,633,0.00010826702711726325,235,0.0007336469773580382,353,0.0002982625229227172,407.0,False
MYRF,388,0.0002818667286247188,227,0.0007479050053172449,611,0.00011190950483937327,408.6666666666667,False
TCF4,351,0.00031670644070938136,154,0.0009923692811174658,723,5.959243047912261e-05,409.3333333333333,False
ETV1,499,0.00018972424180975796,533,0.000243214584991096,197,0.0005104269488666349,409.6666666666667,False
PRRX1,317,0.0003562876580782827,390,0.00041188746209544746,525,0.00016416231254626464,410.6666666666667,False
HHEX,234,0.0004528297091300456,414,0.0003936980727399769,586,0.00012683277948718452,411.3333333333333,False
ETV2,628,0.00011031960497982227,261,0.000659586258817316,350,0.0003007398758696085,413.0,False
SMAD1,486,0.0001980552602397052,635,0.00013571032182244848,118,0.000668146895722285,413.0,False
ENO1,439,0.00023553215926381887,406,0.00039849857341433756,396,0.0002560935291533249,413.6666666666667,False
KLF5,671,8.613846943138593e-05,547,0.00022044804623102678,28,0.0012656888496332447,415.3333333333333,False
NEUROD6,602,0.00012613803988353374,484,0.0003003673394122223,161,0.0005868554603831867,415.6666666666667,False
RARG,257,0.0004168941643249789,729,5.645717752575806e-05,262,0.0003947449795856356,416.0,False
NKX6-3,223,0.00047918026211846154,770,1.9739271707383963e-05,259,0.00039737393217365025,417.3333333333333,False
TFDP3,332,0.0003409655379024998,576,0.00018981579934819766,344,0.0003059173271994399,417.3333333333333,False
TBX3,378,0.00029903402258407203,379,0.00042478097870888166,496,0.0001817254707851024,417.6666666666667,False
KCNIP3,294,0.00038324169474545863,525,0.00025534110016616813,435,0.00022496666539347754,418.0,False
NFKBIZ,149,0.0006522604148675314,592,0.000175394858360469,514,0.00016873965327676794,418.3333333333333,False
MYOCD,563,0.00014786116293125264,600,0.00016885923096334878,94,0.0007659237337176103,419.0,False
TADA2A,591,0.00013467492931685035,237,0.000730938907564092,430,0.0002269803575211082,419.3333333333333,False
SPIB,381,0.00029175737146898206,298,0.0005684435882082626,581,0.00012927134196890589,420.0,False
RUNX3,262,0.00041398981884964144,588,0.00018015541671488654,410,0.00024335492112599738,420.0,False
SP4,729,5.408047707116047e-05,139,0.001059054514081998,393,0.00025901070154594146,420.3333333333333,False
MSX2,424,0.00025070051270686787,732,5.116474478712844e-05,107,0.0007039451044571857,421.0,False
TBR1,365,0.000306111368872459,534,0.00024282051424851295,365,0.0002817314651138352,421.3333333333333,False
ETV3,180,0.0005892034417532462,615,0.0001592567252759402,469,0.00020108377920581861,421.3333333333333,False
HEYL,489,0.00019697845033478546,544,0.00022535349187984883,231,0.0004315549475436318,421.3333333333333,False
NFIC,430,0.00024474256931419154,673,0.00010076167368114594,163,0.0005821595077577513,422.0,False
KLF13,436,0.00023776881873968395,283,0.0005996950639283485,553,0.00014289602367770468,424.0,False
SALL3,718,6.005609726408929e-05,362,0.0004531154226049583,193,0.0005159806287613746,424.3333333333333,False
KLF15,541,0.0001625280432714741,580,0.00018542239935083092,153,0.0006069462259333567,424.6666666666667,False
HOXD1,478,0.0002059153982965213,440,0.00035160510161045806,358,0.0002942803022657851,425.3333333333333,False
TP63,357,0.0003103702926988593,690,8.505300281077173e-05,229,0.00043530018928956423,425.3333333333333,False
FOSL1,644,0.00010169302405908336,74,0.0014330056544691395,560,0.0001395983299310253,426.0,False
MEOX2,696,7.472072722842513e-05,441,0.0003510196553544588,145,0.00061940888654514,427.3333333333333,False
HMGA1,525,0.00017140020544860764,223,0.0007527429278883519,536,0.0001565867612154045,428.0,False
AIRE,647,0.00010059070908658379,373,0.0004339308922102315,267,0.0003910941118881579,429.0,False
MYOD1,479,0.0002053145415312897,463,0.0003279177659888691,345,0.00030508187096116177,429.0,False
HNF1B,711,6.362441150330231e-05,420,0.000386155408429631,160,0.0005872119940332512,430.3333333333333,False
RORA,310,0.00036175391219192977,509,0.0002706840670560434,472,0.00019889060273257974,430.3333333333333,False
HOXB2,682,8.184305322215964e-05,241,0.0007206903885548165,370,0.00027860470235864477,431.0,False
NFIB,246,0.0004341739521061589,543,0.00022680077197698913,507,0.00017474420025626552,432.0,False
NFYC,366,0.0003055801678432214,475,0.0003149804008478785,463,0.00020461982569830786,434.6666666666667,False
ID1,467,0.00021223220606412778,268,0.0006360811203469921,571,0.00013331779893377416,435.3333333333333,False
HSF1,395,0.00027809920564350523,619,0.00015385018313088838,293,0.0003673455736374494,435.6666666666667,False
NFKBIB,664,9.113939561853896e-05,290,0.0005898885726007089,354,0.0002972611006856768,436.0,False
